Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1615378916
Base Time Fractional,.946006980
Base Time,03/10/2021 12:21:56.946006980
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.04999995976686,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.6158638000488,Volt DC,10,T,2W,T,F,0.000000000
-0.04999839514494,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5928092002869,Volt DC,10,T,2W,T,F,0.083791420
-0.04999833926558,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5844998359680,Volt DC,10,T,2W,T,F,0.167566940
-0.04999828711152,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5788996219635,Volt DC,10,T,2W,T,F,0.251326800
-0.04999836534262,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5745625495911,Volt DC,10,T,2W,T,F,0.335100120
-0.04999835789204,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5709023475647,Volt DC,10,T,2W,T,F,0.418870380
-0.04999831691384,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5676724910736,Volt DC,10,T,2W,T,F,0.502647480
-0.04999837651849,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5647435188293,Volt DC,10,T,2W,T,F,0.586425120
-0.04999832808971,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5620577335358,Volt DC,10,T,2W,T,F,0.670193460
-0.04999824985862,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5595719814301,Volt DC,10,T,2W,T,F,0.753967340
-0.04999835044146,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5572514533997,Volt DC,10,T,2W,T,F,0.837758260
-0.04999829828739,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5550732612610,Volt DC,10,T,2W,T,F,0.921546160
-0.04999831318855,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5530157089233,Volt DC,10,T,2W,T,F,1.005317340
-0.04999834299088,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5510561466217,Volt DC,10,T,2W,T,F,1.089096180
-0.04999836906791,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5491995811462,Volt DC,10,T,2W,T,F,1.172872320
