Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,161
Base Time Seconds,1615322501
Base Time Fractional,.507280560
Base Time,03/09/2021 20:41:41.507280560
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.01886169053614,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.9997470378876,Volt DC,10,T,2W,F,F,0.000000000
-0.01892195083201,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.9499943256378,Volt DC,10,T,2W,F,F,0.083767400
-0.01803657412529,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8998434543610,Volt DC,10,T,2W,F,F,0.167511280
-0.01694479584694,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8497705459595,Volt DC,10,T,2W,F,F,0.251256220
-0.01576949283481,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7997100353241,Volt DC,10,T,2W,F,F,0.335024080
-0.01449899934232,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7498974800110,Volt DC,10,T,2W,F,F,0.418757080
-0.01328622084111,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.6998267173767,Volt DC,10,T,2W,F,F,0.502517220
-0.01203966047615,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.6497039794922,Volt DC,10,T,2W,F,F,0.586267300
-0.01085401792079,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.5999457836151,Volt DC,10,T,2W,F,F,0.670056880
-0.009244641289115,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.5497500896454,Volt DC,10,T,2W,F,F,0.908103200
-0.008321189321578,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.4997227191925,Volt DC,10,T,2W,F,F,0.991900680
-0.007260494865477,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.4499762058258,Volt DC,10,T,2W,F,F,1.075659960
-0.006205217447132,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.3998479843140,Volt DC,10,T,2W,F,F,1.159413540
-0.00519635155797,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.3497562408447,Volt DC,10,T,2W,F,F,1.243178320
-0.004275219514966,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.2996420860291,Volt DC,10,T,2W,F,F,1.326907900
-0.003424471244216,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.2499046325684,Volt DC,10,T,2W,F,F,1.410655440
-0.00267117540352,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.1998412609100,Volt DC,10,T,2W,F,F,1.494397300
-0.002039598766714,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.1497275829315,Volt DC,10,T,2W,F,F,1.578165080
-0.001590352738276,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.0999865531921,Volt DC,10,T,2W,F,F,1.661921020
-0.001380822504871,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-3.0498328208923,Volt DC,10,T,2W,F,F,1.745706220
-0.001292667817324,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-2.9997594356537,Volt DC,10,T,2W,F,F,1.829492460
-0.001232782262377,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-2.9499638080597,Volt DC,10,T,2W,F,F,1.913254880
-0.001183840911835,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-2.8998758792877,Volt DC,10,T,2W,F,F,1.997021500
-0.001140868989751,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-2.8498070240021,Volt DC,10,T,2W,F,F,2.080795360
-0.00110146147199,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-2.7996847629547,Volt DC,10,T,2W,F,F,2.164579900
-0.001065116841346,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-2.7499279975891,Volt DC,10,T,2W,F,F,2.248343280
-0.001029973500408,Amp DC,.01,5.5,F,F,F,F,F,F,Rear,F,Main,-2.6997914314270,Volt DC,10,T,2W,F,F,2.332125240
-0.000980164622888,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.6496009826660,Volt DC,10,T,2W,F,F,2.570177040
-0.0009500654414296,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.5998623371124,Volt DC,10,T,2W,F,F,2.653941600
-0.0009211560245603,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.5496957302094,Volt DC,10,T,2W,F,F,2.737686700
-0.0008933019707911,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.4996325969696,Volt DC,10,T,2W,F,F,2.821444740
-0.000866350135766,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.4498531818390,Volt DC,10,T,2W,F,F,2.905201780
-0.0008402245584875,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.3997802734375,Volt DC,10,T,2W,F,F,2.988933460
-0.0008148313499987,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.3496396541595,Volt DC,10,T,2W,F,F,3.072683060
-0.0007898124749772,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.2995781898499,Volt DC,10,T,2W,F,F,3.156429720
-0.0007655990775675,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.2498295307159,Volt DC,10,T,2W,F,F,3.240186700
-0.000741830910556,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.1996922492981,Volt DC,10,T,2W,F,F,3.323947240
-0.0007171821780503,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.1496231555939,Volt DC,10,T,2W,F,F,3.407704880
-0.0006935214041732,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.0998482704163,Volt DC,10,T,2W,F,F,3.491469740
-0.0006692629540339,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-2.0497481822968,Volt DC,10,T,2W,F,F,3.575224200
-0.0006446004263125,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.9996691942215,Volt DC,10,T,2W,F,F,3.658993620
-0.0006197185139172,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.9498753547668,Volt DC,10,T,2W,F,F,3.742742700
-0.0005939019029029,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.8997775316238,Volt DC,10,T,2W,F,F,3.826490740
-0.0005670139216818,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.8496669530869,Volt DC,10,T,2W,F,F,3.910245900
-0.0005388651625253,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.7995952367783,Volt DC,10,T,2W,F,F,3.994013080
-0.0005097590037622,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.7498065233231,Volt DC,10,T,2W,F,F,4.077771060
-0.0004800223978236,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.6997257471085,Volt DC,10,T,2W,F,F,4.161542380
-0.0004497514455579,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.6496548652649,Volt DC,10,T,2W,F,F,4.245311740
-0.0004187485610601,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.5998501777649,Volt DC,10,T,2W,F,F,4.329049920
-0.0003875209658872,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.5497665405273,Volt DC,10,T,2W,F,F,4.412794040
-0.0003563565551303,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.4996451139450,Volt DC,10,T,2W,F,F,4.496546060
-0.0003261894453317,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.4499177932739,Volt DC,10,T,2W,F,F,4.580311540
-0.0002966196916532,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.3998423814774,Volt DC,10,T,2W,F,F,4.664050700
-0.0002677264274098,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.3496999740601,Volt DC,10,T,2W,F,F,4.747795660
-0.0002406761341263,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.2996109724045,Volt DC,10,T,2W,F,F,4.831550280
-0.0002149269130314,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.2497993707657,Volt DC,10,T,2W,F,F,4.915311180
-0.0001906194520416,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.1997123956680,Volt DC,10,T,2W,F,F,4.999076880
-0.0001681515277596,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.1496217250824,Volt DC,10,T,2W,F,F,5.082847200
-0.0001475271274103,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.0998507738113,Volt DC,10,T,2W,F,F,5.166638940
-0.0001283530582441,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-1.0497754812241,Volt DC,10,T,2W,F,F,5.250397160
-0.000110716369818,Amp DC,.001,5.5,F,F,F,F,F,F,Rear,F,Main,-0.9996380805969,Volt DC,10,T,2W,F,F,5.334163020
-9.418211993761e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Rear,F,Main,-0.9497795701027,Volt DC,10,T,2W,F,F,5.576204800
