Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,201
Base Time Seconds,1615378481
Base Time Fractional,.592663320
Base Time,03/10/2021 12:14:41.592663320
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-1.023439111236e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.9996891021729,Volt DC,10,T,2W,F,F,0.000000000
-9.472883588657e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.8587608337402,Volt DC,10,T,2W,F,F,0.680555140
-1.059562881878e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.7995815277100,Volt DC,10,T,2W,F,F,1.832125360
-1.031803975593e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.6575517654419,Volt DC,10,T,2W,F,F,2.512692080
-1.02603492369e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.5572538375854,Volt DC,10,T,2W,F,F,3.057550400
-7.154709047441e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.4996852874756,Volt DC,10,T,2W,F,F,4.209104920
-1.010800332324e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.3628339767456,Volt DC,10,T,2W,F,F,4.889676300
-1.0157792385e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.2996025085449,Volt DC,10,T,2W,F,F,6.041289520
-9.619526286642e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.1575126647949,Volt DC,10,T,2W,F,F,6.721855260
-5.430754179692e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.1003341674805,Volt DC,10,T,2W,F,F,7.873452520
-2.80301137856e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.9997253417969,Volt DC,10,T,2W,F,F,9.060709020
-7.984511940506e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.8666839599609,Volt DC,10,T,2W,F,F,9.741259900
1.324780996015e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.7993431091309,Volt DC,10,T,2W,F,F,10.892874120
-5.346772358195e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.4017810821533,Volt DC,10,T,2W,F,F,11.573468380
-1.218697809335e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.5999269485474,Volt DC,10,T,2W,F,F,12.725050500
-2.399832776945e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.4999256134033,Volt DC,10,T,2W,F,F,13.912348720
-8.601234169348e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.3577842712402,Volt DC,10,T,2W,F,F,14.592904000
-8.233944082114e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.2996969223022,Volt DC,10,T,2W,F,F,15.744475900
-1.099479396416e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.1998119354248,Volt DC,10,T,2W,F,F,16.931740340
-1.054397458233e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.0490150451660,Volt DC,10,T,2W,F,F,17.612295720
5.114919598981e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.9997329711914,Volt DC,10,T,2W,F,F,18.763926180
-6.188478063329e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.8999185562134,Volt DC,10,T,2W,F,F,19.951222580
