Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1615378761
Base Time Fractional,.008524080
Base Time,03/10/2021 12:19:21.008524080
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-1.21598620062e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.9997773170471,Volt DC,10,T,2W,F,F,0.000000000
-6.738413715901e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.8506755828857,Volt DC,10,T,2W,F,F,0.680549300
-8.923378147507e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.7998037338257,Volt DC,10,T,2W,F,F,1.832144540
-8.31856472594e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.6998538970947,Volt DC,10,T,2W,F,F,3.019434940
-8.558130315528e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.5999603271484,Volt DC,10,T,2W,F,F,4.206671720
-7.201923502009e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.4319553375244,Volt DC,10,T,2W,F,F,4.887197560
-8.975669096856e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.3999547958374,Volt DC,10,T,2W,F,F,6.038752960
-9.026847602733e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.2997226715088,Volt DC,10,T,2W,F,F,7.226015840
-9.247332344309e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.1998510360718,Volt DC,10,T,2W,F,F,8.413283900
-9.163232950193e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.0999507904053,Volt DC,10,T,2W,F,F,9.600513220
-6.483524828127e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.9997580051422,Volt DC,10,T,2W,F,F,10.787747000
-7.61638363489e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.8998417854309,Volt DC,10,T,2W,F,F,11.974969160
-6.331373203494e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.7996876239777,Volt DC,10,T,2W,F,F,13.162247520
-7.174850158442e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.6554553508759,Volt DC,10,T,2W,F,F,13.842801700
-7.065539264772e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.5999202728271,Volt DC,10,T,2W,F,F,14.994384880
-6.237327321301e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.4997582435608,Volt DC,10,T,2W,F,F,16.181608800
-6.145547404302e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.3998777866364,Volt DC,10,T,2W,F,F,17.368860200
