Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1615377292
Base Time Fractional,.613207040
Base Time,03/10/2021 11:54:52.613207040
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.3999772667885,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.0053181648254,Volt DC,10,T,2W,T,F,0.000000000
-0.3999639451504,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9477100372314,Volt DC,10,T,2W,T,F,0.083810900
-0.3999610245228,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9096932411194,Volt DC,10,T,2W,T,F,0.167591000
-0.3999591767788,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9007863998413,Volt DC,10,T,2W,T,F,0.251364360
-0.3999596834183,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8957757949829,Volt DC,10,T,2W,T,F,0.335138440
-0.3999550640583,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9030084609985,Volt DC,10,T,2W,T,F,0.418891260
-0.3999615013599,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8570961952209,Volt DC,10,T,2W,T,F,0.502665800
-0.399948656559,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8753356933594,Volt DC,10,T,2W,T,F,0.586423640
-0.3999482393265,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8861775398254,Volt DC,10,T,2W,T,F,0.670182880
-0.3999516963959,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8754625320435,Volt DC,10,T,2W,T,F,0.753958320
-0.3999568223953,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8740820884705,Volt DC,10,T,2W,T,F,0.837724140
-0.3999520540237,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8896374702454,Volt DC,10,T,2W,T,F,0.921465500
-0.3999358415604,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9406023025513,Volt DC,10,T,2W,T,F,1.005232600
-0.3999537527561,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9299921989441,Volt DC,10,T,2W,T,F,1.089002300
-0.3999509215355,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8964786529541,Volt DC,10,T,2W,T,F,1.172757920
-0.3999569118023,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8870763778687,Volt DC,10,T,2W,T,F,1.256512820
-0.3999498784542,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8890585899353,Volt DC,10,T,2W,T,F,1.340271520
-0.399956882,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8881664276123,Volt DC,10,T,2W,T,F,1.424039160
-0.3999586701393,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8408522605896,Volt DC,10,T,2W,T,F,1.507809860
-0.3999166190624,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9021444320679,Volt DC,10,T,2W,T,F,1.591566920
-0.3999580740929,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9048552513123,Volt DC,10,T,2W,T,F,1.675329240
-0.3999648988247,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8952145576477,Volt DC,10,T,2W,T,F,1.759104660
-0.3999795615673,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8562560081482,Volt DC,10,T,2W,T,F,1.842860820
-0.3999609053135,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8630390167236,Volt DC,10,T,2W,T,F,1.926632520
-0.3999509811401,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8530540466309,Volt DC,10,T,2W,T,F,2.010397520
-0.3999426960945,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8665361404419,Volt DC,10,T,2W,T,F,2.094160920
-0.3999555408955,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8537268638611,Volt DC,10,T,2W,T,F,2.177917960
-0.3999522328377,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.8540496826172,Volt DC,10,T,2W,T,F,2.261695100
-0.3999129831791,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9031128883362,Volt DC,10,T,2W,T,F,2.345450080
-0.399956882,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.6711931228638,Volt DC,10,T,2W,T,F,2.429200400
-0.3999691903591,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.6366739273071,Volt DC,10,T,2W,T,F,2.512962920
-0.3999609351158,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.6318883895874,Volt DC,10,T,2W,T,F,2.596727740
