Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1615377145
Base Time Fractional,.773405120
Base Time,03/10/2021 11:52:25.773405120
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.1999800801277,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.9203979969025,Volt DC,10,T,2W,T,F,0.000000000
-0.1999667137861,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.9137611389160,Volt DC,10,T,2W,T,F,0.083799120
-0.1999673396349,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8996567726135,Volt DC,10,T,2W,T,F,0.167559180
-0.1999655067921,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8951456546783,Volt DC,10,T,2W,T,F,0.251313620
-0.1999696195126,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8917825222015,Volt DC,10,T,2W,T,F,0.335088620
-0.1999684721231,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8890907764435,Volt DC,10,T,2W,T,F,0.418845500
-0.1999655663967,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8876907825470,Volt DC,10,T,2W,T,F,0.502614040
-0.199973076582,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8864996433258,Volt DC,10,T,2W,T,F,0.586386620
-0.1999636441469,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8852961063385,Volt DC,10,T,2W,T,F,0.670158800
-0.199968367815,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8842833042145,Volt DC,10,T,2W,T,F,0.753908600
-0.199963092804,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8827629089355,Volt DC,10,T,2W,T,F,0.837660960
-0.1999648213387,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8821656703949,Volt DC,10,T,2W,T,F,0.921425120
-0.1999585479498,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8813343048096,Volt DC,10,T,2W,T,F,1.005189200
-0.1999661177397,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8806438446045,Volt DC,10,T,2W,T,F,1.088959260
-0.1999660432339,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8797197341919,Volt DC,10,T,2W,T,F,1.172728600
-0.1999626010656,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8788118362427,Volt DC,10,T,2W,T,F,1.256505140
-0.199964299798,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8786101341248,Volt DC,10,T,2W,T,F,1.340274440
-0.1999649256468,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8782658576965,Volt DC,10,T,2W,T,F,1.424038280
-0.1999638229609,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8780128955841,Volt DC,10,T,2W,T,F,1.507788720
-0.1999620199203,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8776009082794,Volt DC,10,T,2W,T,F,1.591558320
