Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,201
Base Time Seconds,1615378326
Base Time Fractional,.981134920
Base Time,03/10/2021 12:12:06.981134920
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-1.049967067956e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Rear,F,Main,-0.0337782837451,Volt DC,10,T,2W,F,F,0.000000000
-0.1999749839306,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4052577018738,Volt DC,10,T,2W,T,F,0.371805580
-0.1999709457159,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4089555740356,Volt DC,10,T,2W,T,F,0.455640400
-0.1999627500772,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4050602912903,Volt DC,10,T,2W,T,F,0.539415580
-0.1999609917402,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4079523086548,Volt DC,10,T,2W,T,F,0.623175180
-0.1999569237232,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4117102622986,Volt DC,10,T,2W,T,F,0.706942460
-0.1999545842409,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4161148071289,Volt DC,10,T,2W,T,F,0.790726980
-0.199965685606,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4131646156311,Volt DC,10,T,2W,T,F,0.874499520
-0.1999627351761,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4134235382080,Volt DC,10,T,2W,T,F,0.958288340
-0.1999592334032,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4184908866882,Volt DC,10,T,2W,T,F,1.042075440
-0.1999621540308,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4243144989014,Volt DC,10,T,2W,T,F,1.125853580
-0.1999545097351,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4312539100647,Volt DC,10,T,2W,T,F,1.209616020
-0.1999574750662,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4384675025940,Volt DC,10,T,2W,T,F,1.293394700
-0.1999568641186,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4452123641968,Volt DC,10,T,2W,T,F,1.377155520
-0.1999644935131,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4403090476990,Volt DC,10,T,2W,T,F,1.460939500
-0.1999621242285,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4315409660339,Volt DC,10,T,2W,T,F,1.544715340
-0.1999603956938,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4304828643799,Volt DC,10,T,2W,T,F,1.628485220
-0.1999580860138,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4296426773071,Volt DC,10,T,2W,T,F,1.712245040
-0.1999551653862,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4278135299683,Volt DC,10,T,2W,T,F,1.796012080
-0.1999569088221,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4273858070374,Volt DC,10,T,2W,T,F,1.879779620
-0.1999557167292,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4273090362549,Volt DC,10,T,2W,T,F,1.963554140
-0.1999544650316,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4263148307800,Volt DC,10,T,2W,T,F,2.047321060
-0.1999545544386,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4235887527466,Volt DC,10,T,2W,T,F,2.131081120
-0.1999534070492,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4218201637268,Volt DC,10,T,2W,T,F,2.214855180
-0.1999540776014,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4202122688293,Volt DC,10,T,2W,T,F,2.298627820
-0.1999481320381,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4197568893433,Volt DC,10,T,2W,T,F,2.382379340
-0.1999568492174,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4203228950500,Volt DC,10,T,2W,T,F,2.466149400
-0.199957460165,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4189400672913,Volt DC,10,T,2W,T,F,2.549929780
-0.1999522000551,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4161343574524,Volt DC,10,T,2W,T,F,2.633683200
-0.1999533623457,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4133362770081,Volt DC,10,T,2W,T,F,2.717441040
-0.199951633811,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4129729270935,Volt DC,10,T,2W,T,F,2.801211260
-0.199951723218,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4113726615906,Volt DC,10,T,2W,T,F,2.884976880
-0.1999487578869,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4100513458252,Volt DC,10,T,2W,T,F,2.968746900
-0.1999487578869,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4088273048401,Volt DC,10,T,2W,T,F,3.052515880
-0.1999487578869,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4090638160706,Volt DC,10,T,2W,T,F,3.136280420
-0.1999475508928,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4071426391602,Volt DC,10,T,2W,T,F,3.220041240
-0.1999475955963,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4080686569214,Volt DC,10,T,2W,T,F,3.303819360
-0.1999540477991,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4087014198303,Volt DC,10,T,2W,T,F,3.387597460
