Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1615379299
Base Time Fractional,.893723540
Base Time,03/10/2021 12:28:19.893723540
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-4.124915409243e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.9997501373291,Volt DC,10,T,2W,F,F,0.000000000
-3.029509976216e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.8999562263489,Volt DC,10,T,2W,F,F,1.187244120
-1.189163906234e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.7918872833252,Volt DC,10,T,2W,F,F,1.867783380
-2.401540633024e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.7005710601807,Volt DC,10,T,2W,F,F,2.412622120
-7.267811907852e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.5985350608826,Volt DC,10,T,2W,F,F,2.957470860
-5.751036313839e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.4997291564941,Volt DC,10,T,2W,F,F,4.109022320
-2.28580751549e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.3999366760254,Volt DC,10,T,2W,F,F,5.296214980
-1.564182533498e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.2983031272888,Volt DC,10,T,2W,F,F,5.976708700
2.586426073314e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.1998620033264,Volt DC,10,T,2W,F,F,7.128271780
-1.018769513195e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-4.0960550308228,Volt DC,10,T,2W,F,F,7.808789960
-1.934689075611e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.9998311996460,Volt DC,10,T,2W,F,F,8.960346060
1.25969498721e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.8902971744537,Volt DC,10,T,2W,F,F,9.640877860
-1.719207554096e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.8005812168121,Volt DC,10,T,2W,F,F,10.185740400
-6.14095496676e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.7005624771118,Volt DC,10,T,2W,F,F,10.730579280
-3.009126559039e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.5946359634399,Volt DC,10,T,2W,F,F,11.275427080
6.042247258087e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.4923050403595,Volt DC,10,T,2W,F,F,11.820280160
-1.620242273681e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.4002547264099,Volt DC,10,T,2W,F,F,12.365115380
-5.246251766344e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.3035414218903,Volt DC,10,T,2W,F,F,12.909935640
-4.539369991008e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.1997742652893,Volt DC,10,T,2W,F,F,14.061452760
-3.484387500752e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-3.1000058650970,Volt DC,10,T,2W,F,F,14.742007720
-4.600668734867e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.9997539520264,Volt DC,10,T,2W,F,F,15.893576680
-5.176580830657e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.8998599052429,Volt DC,10,T,2W,F,F,17.080837960
-2.524315201313e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.7956030368805,Volt DC,10,T,2W,F,F,17.761360500
-3.988293029167e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.6998362541199,Volt DC,10,T,2W,F,F,18.912888960
4.167562128732e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.5927062034607,Volt DC,10,T,2W,F,F,19.593420880
