Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,201
Base Time Seconds,1615379655
Base Time Fractional,.802052060
Base Time,03/10/2021 12:34:15.802052060
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.499886661768,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.0201153755188,Volt DC,10,T,2W,T,F,0.000000000
-0.4999375939369,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.0501050949097,Volt DC,10,T,2W,T,F,0.083795580
-0.4999421238899,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.0703020095825,Volt DC,10,T,2W,T,F,0.167570380
-0.4999388456345,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.0868153572083,Volt DC,10,T,2W,T,F,0.251342140
-0.4999358355999,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1010851860046,Volt DC,10,T,2W,T,F,0.335102400
-0.4999289512634,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1138095855713,Volt DC,10,T,2W,T,F,0.418876440
-0.4999336600304,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1254668235779,Volt DC,10,T,2W,T,F,0.502639000
-0.4999405145645,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1362910270691,Volt DC,10,T,2W,T,F,0.586403860
-0.4999387860298,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1464743614197,Volt DC,10,T,2W,T,F,0.670161160
-0.4999404549599,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1561765670776,Volt DC,10,T,2W,T,F,0.753912580
-0.4999398589134,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1655135154724,Volt DC,10,T,2W,T,F,0.837689460
-0.4999297261238,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1745319366455,Volt DC,10,T,2W,T,F,0.921451880
-0.4999344944954,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1832995414734,Volt DC,10,T,2W,T,F,1.005222520
-0.4999350309372,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1918683052063,Volt DC,10,T,2W,T,F,1.088988860
-0.4999352991581,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2002387046814,Volt DC,10,T,2W,T,F,1.172747480
-0.4999370574951,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2084422111511,Volt DC,10,T,2W,T,F,1.256518180
-0.4999375939369,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2165155410767,Volt DC,10,T,2W,T,F,1.340285360
-0.4999389648438,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2244758605957,Volt DC,10,T,2W,T,F,1.424049040
-0.4999322593212,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2322850227356,Volt DC,10,T,2W,T,F,1.507812260
-0.4999346733093,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2399811744690,Volt DC,10,T,2W,T,F,1.591550720
-0.4999334812164,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2475419044495,Volt DC,10,T,2W,T,F,1.675313000
-0.4999334812164,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2550096511841,Volt DC,10,T,2W,T,F,1.759074000
-0.4999313950539,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2623834609985,Volt DC,10,T,2W,T,F,1.842825240
-0.4999316036701,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2696022987366,Volt DC,10,T,2W,T,F,1.926595060
-0.4999300539494,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2767262458801,Volt DC,10,T,2W,T,F,2.010376060
-0.4999270737171,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2837266921997,Volt DC,10,T,2W,T,F,2.094127180
-0.4999353587627,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2906517982483,Volt DC,10,T,2W,T,F,2.177896840
-0.4999324083328,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2974691390991,Volt DC,10,T,2W,T,F,2.261655120
-0.499931871891,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3041706085205,Volt DC,10,T,2W,T,F,2.345432340
-0.4999329447746,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3107876777649,Volt DC,10,T,2W,T,F,2.429182000
-0.4999288320541,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3173356056213,Volt DC,10,T,2W,T,F,2.512940560
-0.499928176403,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3237419128418,Volt DC,10,T,2W,T,F,2.596716880
-0.4999242424965,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3300633430481,Volt DC,10,T,2W,T,F,2.680487100
-0.4999308586121,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3362927436829,Volt DC,10,T,2W,T,F,2.764238000
-0.4999247789383,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3423709869385,Volt DC,10,T,2W,T,F,2.848009320
-0.4999245405197,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3483533859253,Volt DC,10,T,2W,T,F,2.931767460
-0.4999276399612,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3542485237122,Volt DC,10,T,2W,T,F,3.015515780
-0.4645082354546,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2996935844421,Volt DC,10,T,2W,F,F,3.099278700
-0.4013982415199,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1998300552368,Volt DC,10,T,2W,F,F,3.183072880
-0.3390533924103,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.0999803543091,Volt DC,10,T,2W,F,F,3.266828660
-0.2763372659683,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-5.9997730255127,Volt DC,10,T,2W,F,F,3.350576920
-0.2163482904434,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-5.8999118804932,Volt DC,10,T,2W,F,F,3.434316660
-0.1608960330486,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-5.7997207641602,Volt DC,10,T,2W,F,F,3.518075340
-0.111554838717,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-5.6998319625854,Volt DC,10,T,2W,F,F,3.601830580
-0.07242313027382,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-5.5999140739441,Volt DC,10,T,2W,F,F,3.805823100
-0.03492918983102,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-5.4997925758362,Volt DC,10,T,2W,F,F,3.889612820
-0.01282052788883,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-5.3999233245850,Volt DC,10,T,2W,F,F,3.973358560
-0.006540652830154,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-5.2996616363525,Volt DC,10,T,2W,F,F,4.211426980
-0.004040415398777,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-5.1998214721680,Volt DC,10,T,2W,F,F,4.295194200
-0.002720732009038,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-5.0999345779419,Volt DC,10,T,2W,F,F,4.378956220
-0.001919199479744,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-4.9997448921204,Volt DC,10,T,2W,F,F,4.462715060
-0.001397076062858,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-4.8999342918396,Volt DC,10,T,2W,F,F,4.546465400
-0.001036839559674,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-4.7997274398804,Volt DC,10,T,2W,F,F,4.630222480
-0.0007718208362348,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-4.6997714042664,Volt DC,10,T,2W,F,F,4.868281620
-0.000587742368225,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-4.5999331474304,Volt DC,10,T,2W,F,F,4.952071200
-0.0004502944066189,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-4.4997363090515,Volt DC,10,T,2W,F,F,5.035843020
-0.00034688989399,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-4.3999271392822,Volt DC,10,T,2W,F,F,5.119578920
-0.0002676591393538,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-4.2997159957886,Volt DC,10,T,2W,F,F,5.203321240
-0.0002068875619443,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-4.1998419761658,Volt DC,10,T,2W,F,F,5.287086440
-0.0001598363305675,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-4.0999765396118,Volt DC,10,T,2W,F,F,5.370832720
-0.0001231557689607,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,-3.9997699260712,Volt DC,10,T,2W,F,F,5.454566780
-9.361642150907e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-3.8997740745544,Volt DC,10,T,2W,F,F,5.696615500
-7.167187141022e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-3.7996630668640,Volt DC,10,T,2W,F,F,5.780411100
-5.463970956043e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-3.6997911930084,Volt DC,10,T,2W,F,F,5.864176300
-4.141593308304e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-3.5999228954315,Volt DC,10,T,2W,F,F,5.947945420
-3.11630719807e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-3.4997534751892,Volt DC,10,T,2W,F,F,6.031698620
-2.3296004656e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-3.3998699188232,Volt DC,10,T,2W,F,F,6.115445180
-1.725794572849e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-3.2996568679810,Volt DC,10,T,2W,F,F,6.199191400
-1.268919731956e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-3.1998465061188,Volt DC,10,T,2W,F,F,6.282946300
-9.144473551714e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.0999228954315,Volt DC,10,T,2W,F,F,6.528995260
-6.586010385945e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.9997217655182,Volt DC,10,T,2W,F,F,6.613791300
-4.697806161857e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.8998610973358,Volt DC,10,T,2W,F,F,6.698574360
-3.309041403554e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.7996809482574,Volt DC,10,T,2W,F,F,6.783353240
-2.305531324964e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.6997942924500,Volt DC,10,T,2W,F,F,6.868110440
-1.58659383942e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.5999598503113,Volt DC,10,T,2W,F,F,6.952857280
-1.076194052985e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.4997348785400,Volt DC,10,T,2W,F,F,7.037589760
-7.134185011637e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.3998169898987,Volt DC,10,T,2W,F,F,7.288628080
-4.708384153673e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.2996261119843,Volt DC,10,T,2W,F,F,7.389113960
-3.068317084853e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.1997678279877,Volt DC,10,T,2W,F,F,7.489583660
-1.975950993938e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.0999279022217,Volt DC,10,T,2W,F,F,7.590057200
-1.256877482092e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.9997488260269,Volt DC,10,T,2W,F,F,7.690558900
-7.806766433305e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.8997616767883,Volt DC,10,T,2W,F,F,7.994835140
-4.7298168937e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.7996073961258,Volt DC,10,T,2W,F,F,8.489697520
-2.849359148627e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.6997871398926,Volt DC,10,T,2W,F,F,8.984539040
-1.679376637753e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.5998827219009,Volt DC,10,T,2W,F,F,9.479370480
-6.439337063568e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3658087253571,Volt DC,10,T,2W,F,F,10.159869280
-4.310108714378e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.3143377304077,Volt DC,10,T,2W,F,F,10.704720200
-2.986954239503e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.2405240535736,Volt DC,10,T,2W,F,F,11.249555980
-2.094086681836e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.1997245550156,Volt DC,10,T,2W,F,F,12.401101700
-9.305309300878e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.0998396873474,Volt DC,10,T,2W,F,F,13.588329040
-1.136878591268e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.9707745909691,Volt DC,10,T,2W,F,F,14.268861940
-3.239354340323e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.8997577428818,Volt DC,10,T,2W,F,F,15.420407740
-3.42651407248e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7996100187302,Volt DC,10,T,2W,F,F,16.607607940
-1.364329899056e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.6945980191231,Volt DC,10,T,2W,F,F,17.288136440
-1.006265348824e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.5998508930206,Volt DC,10,T,2W,F,F,18.439672280
-1.941601046607e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4966331720352,Volt DC,10,T,2W,F,F,19.120206280
-1.349561434827e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3997953236103,Volt DC,10,T,2W,F,F,20.271752960
-1.793915016535e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.2995665371418,Volt DC,10,T,2W,F,F,21.459001520
7.636290037805e-12,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1979203373194,Volt DC,10,T,2W,F,F,22.139529900
2.616989437654e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0998575687408,Volt DC,10,T,2W,F,F,23.291071720
1.557885348502e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0003680496593,Volt DC,10,T,2W,F,F,24.478332760
1.178852154782e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0989200919867,Volt DC,10,T,2W,F,F,25.159164040
1.703165802835e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1999131441116,Volt DC,10,T,2W,F,F,26.310735620
1.000743932167e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2868557274342,Volt DC,10,T,2W,F,F,26.991252020
7.022936898693e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3318787515163,Volt DC,10,T,2W,F,F,27.536117500
2.913934906701e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4997493624687,Volt DC,10,T,2W,F,F,28.687196260
9.581095582689e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.5995063781738,Volt DC,10,T,2W,F,F,29.263712040
0.0003521736653056,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.6998223066330,Volt DC,10,T,2W,F,F,29.658208440
0.01029769238085,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.7997310757637,Volt DC,10,T,2W,F,F,29.976438560
0.07579480111599,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.8997452259064,Volt DC,10,T,2W,F,F,30.060235300
0.1900332123041,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.9998072981834,Volt DC,10,T,2W,F,F,30.258174960
0.3227713704109,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.1000127792358,Volt DC,10,T,2W,F,F,30.341977600
0.4648685157299,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.1998872756958,Volt DC,10,T,2W,F,F,30.425767320
0.4999572336674,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.2216497659683,Volt DC,10,T,2W,T,F,30.509535120
0.499949246645,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.2202266454697,Volt DC,10,T,2W,T,F,30.593308880
0.4999544620514,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.2190797328949,Volt DC,10,T,2W,T,F,30.677069120
0.4999543428421,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.2180842161179,Volt DC,10,T,2W,T,F,30.760834080
