Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1615398334
Base Time Fractional,.693183800
Base Time,03/10/2021 17:45:34.693183800
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.1999015808105,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.0512285232544,Volt DC,10,T,2W,T,F,0.000000000
-0.1999401003122,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.1913790702820,Volt DC,10,T,2W,T,F,0.083780880
-0.199942484498,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.3102493286133,Volt DC,10,T,2W,T,F,0.167561880
-0.1999418884516,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.3921689987183,Volt DC,10,T,2W,T,F,0.251355760
-0.1999401450157,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4814715385437,Volt DC,10,T,2W,T,F,0.335120280
-0.199944242835,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5479488372803,Volt DC,10,T,2W,T,F,0.418885880
-0.1999406814575,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5931186676025,Volt DC,10,T,2W,T,F,0.502664900
-0.1999512016773,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6340084075928,Volt DC,10,T,2W,T,F,0.586438400
-0.199951261282,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6846122741699,Volt DC,10,T,2W,T,F,0.670214120
-0.199950620532,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7262129783630,Volt DC,10,T,2W,T,F,0.754004020
-0.1999565213919,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7595758438110,Volt DC,10,T,2W,T,F,0.837788420
-0.1999518424273,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7927627563477,Volt DC,10,T,2W,T,F,0.921553840
-0.1999529451132,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7773747444153,Volt DC,10,T,2W,T,F,1.005321360
-0.1999593824148,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8189935684204,Volt DC,10,T,2W,T,F,1.089110660
-0.199951261282,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8597822189331,Volt DC,10,T,2W,T,F,1.172889960
-0.1999465972185,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8626828193665,Volt DC,10,T,2W,T,F,1.256663080
-0.1999366134405,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8691725730896,Volt DC,10,T,2W,T,F,1.340430780
-0.1999517977238,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9112558364868,Volt DC,10,T,2W,T,F,1.424217080
-0.1999489068985,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9118824005127,Volt DC,10,T,2W,T,F,1.507975960
-0.1999489217997,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8474688529968,Volt DC,10,T,2W,T,F,1.591737320
-0.2000282853842,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6172509193420,Volt DC,10,T,2W,T,F,1.675493220
-0.1999885737896,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4651956558228,Volt DC,10,T,2W,T,F,1.759265400
-0.1999698132277,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.3745179176331,Volt DC,10,T,2W,T,F,1.843039500
-0.199971601367,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.3028559684753,Volt DC,10,T,2W,T,F,1.926818920
