Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,91
Base Time Seconds,1615399803
Base Time Fractional,.669411900
Base Time,03/10/2021 18:10:03.669411900
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-6.487499426555e-11,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.9960856437683,Volt DC,10,T,2W,F,F,0.000000000
-3.95512095297e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.8998980522156,Volt DC,10,T,2W,F,F,1.151594540
-1.638459229403e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.7997007369995,Volt DC,10,T,2W,F,F,2.338852040
-2.352222930324e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.6998059749603,Volt DC,10,T,2W,F,F,3.526111940
-1.949168604298e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.5999557971954,Volt DC,10,T,2W,F,F,4.713418760
-2.759212303083e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.4997065067291,Volt DC,10,T,2W,F,F,5.900715300
-4.323222335678e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.3782761096954,Volt DC,10,T,2W,F,F,6.581270720
-3.65559492399e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.2996633052826,Volt DC,10,T,2W,F,F,7.732852720
-2.141696153757e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.1802084445953,Volt DC,10,T,2W,F,F,8.413430280
-7.889677106077e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-2.0999305248260,Volt DC,10,T,2W,F,F,9.564985400
-7.04111699501e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-1.9997324943542,Volt DC,10,T,2W,F,F,10.752265560
