Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1615397408
Base Time Fractional,.279066760
Base Time,03/10/2021 17:30:08.279066760
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.199977889657,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.3696932792664,Volt DC,10,T,2W,T,F,0.000000000
-0.1999784857035,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.3625288009644,Volt DC,10,T,2W,T,F,0.083805700
-0.1999720036983,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.3631391525269,Volt DC,10,T,2W,T,F,0.167578420
-0.1999737769365,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.3638105392456,Volt DC,10,T,2W,T,F,0.251349880
-0.1999720931053,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.3650116920471,Volt DC,10,T,2W,T,F,0.335117540
-0.1999696493149,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.3637208938599,Volt DC,10,T,2W,T,F,0.418879180
-0.199969664216,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2611284255981,Volt DC,10,T,2W,T,F,0.502637320
-0.19997382164,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2534928321838,Volt DC,10,T,2W,T,F,0.586402220
-0.199966698885,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2566313743591,Volt DC,10,T,2W,T,F,0.670156880
-0.1999685168266,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2590146064758,Volt DC,10,T,2W,T,F,0.753915800
-0.1999701708555,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2626652717590,Volt DC,10,T,2W,T,F,0.837690840
-0.1999650150537,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2667422294617,Volt DC,10,T,2W,T,F,0.921434660
-0.199962079525,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2706227302551,Volt DC,10,T,2W,T,F,1.005199280
-0.1999686360359,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2745151519775,Volt DC,10,T,2W,T,F,1.088959880
-0.1999680399895,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2781267166138,Volt DC,10,T,2W,T,F,1.172732360
-0.1999632865191,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2816491127014,Volt DC,10,T,2W,T,F,1.256495480
-0.1999691873789,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2851934432983,Volt DC,10,T,2W,T,F,1.340252600
-0.1999645084143,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.2886562347412,Volt DC,10,T,2W,T,F,1.424013440
