Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1615399252
Base Time Fractional,.903022620
Base Time,03/10/2021 18:00:52.903022620
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-3.301211526363e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.9997110366821,Volt DC,10,T,2W,F,F,0.000000000
-1.438563712597e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.9496078491211,Volt DC,10,T,2W,F,F,1.187300540
-1.497305751608e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.8998203277588,Volt DC,10,T,2W,F,F,2.374616420
3.391550928988e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.8653907775879,Volt DC,10,T,2W,F,F,3.055142740
-4.001873277204e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.7996101379395,Volt DC,10,T,2W,F,F,4.206743300
-4.696016908667e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.7498655319214,Volt DC,10,T,2W,F,F,5.394016440
-3.404957427122e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.6634988784790,Volt DC,10,T,2W,F,F,6.074531520
-4.095976335883e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.6496706008911,Volt DC,10,T,2W,F,F,7.226136980
-3.266546477754e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.5999441146851,Volt DC,10,T,2W,F,F,8.413425480
-3.514574464791e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.5141115188599,Volt DC,10,T,2W,F,F,9.093965460
-5.472399755568e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.4996919631958,Volt DC,10,T,2W,F,F,10.245569940
-1.706659480405e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.2899904251099,Volt DC,10,T,2W,F,F,10.926146200
-8.935823747613e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.3256177902222,Volt DC,10,T,2W,F,F,11.471016040
-4.484719817732e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.3497381210327,Volt DC,10,T,2W,F,F,12.622594080
4.79572992429e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.2996263504028,Volt DC,10,T,2W,F,F,13.809871160
-3.706098761214e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.2161188125610,Volt DC,10,T,2W,F,F,14.490419180
-4.015363597176e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.1997404098511,Volt DC,10,T,2W,F,F,15.642025020
-3.58823415425e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.1496715545654,Volt DC,10,T,2W,F,F,16.829302260
-3.785616542462e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.0634927749634,Volt DC,10,T,2W,F,F,17.509863240
-4.072884807194e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-9.0498123168945,Volt DC,10,T,2W,F,F,18.661472360
-3.87490539655e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.9997110366821,Volt DC,10,T,2W,F,F,19.848787160
-3.851807484079e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.9158697128296,Volt DC,10,T,2W,F,F,20.529312100
-3.248168956027e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.8998870849609,Volt DC,10,T,2W,F,F,21.680923900
-3.39531402993e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.8497152328491,Volt DC,10,T,2W,F,F,22.868217580
-3.293942341109e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.7666053771973,Volt DC,10,T,2W,F,F,23.548767720
-3.68344243995e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.7499132156372,Volt DC,10,T,2W,F,F,24.700386200
-4.807569342624e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.6997804641724,Volt DC,10,T,2W,F,F,25.887662400
-4.212209747667e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.6128606796265,Volt DC,10,T,2W,F,F,26.568217100
-4.224973149114e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.5999307632446,Volt DC,10,T,2W,F,F,27.719844320
-3.865366360323e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.5498428344727,Volt DC,10,T,2W,F,F,28.907124340
-3.377711998986e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.4711999893188,Volt DC,10,T,2W,F,F,29.587652480
-2.965160894597e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.4496450424194,Volt DC,10,T,2W,F,F,30.739244880
-3.395432823794e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.3998823165894,Volt DC,10,T,2W,F,F,31.926547740
-3.414852567385e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.3175325393677,Volt DC,10,T,2W,F,F,32.607097820
-3.512684032536e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.2996711730957,Volt DC,10,T,2W,F,F,33.758703840
-3.285450800306e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.2498950958252,Volt DC,10,T,2W,F,F,34.946002560
-3.423469563391e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.1691417694092,Volt DC,10,T,2W,F,F,35.626522240
-3.058741038231e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.1497268676758,Volt DC,10,T,2W,F,F,36.778117500
-3.558629502187e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.0999307632446,Volt DC,10,T,2W,F,F,37.965399060
-3.05829112035e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.0230817794800,Volt DC,10,T,2W,F,F,38.645947160
-3.180295471417e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.9997191429138,Volt DC,10,T,2W,F,F,39.797529860
-3.126321979074e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.9499926567078,Volt DC,10,T,2W,F,F,40.984835000
-3.239628287854e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.8702769279480,Volt DC,10,T,2W,F,F,41.665383380
