Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,21
Base Time Seconds,1616586569
Base Time Fractional,.040265880
Base Time,03/24/2021 11:49:29.040265880
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.0001000440388452,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.9995405673981,Volt DC,10,T,2W,F,F,0.000000000
-9.007604239741e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.8996565341949,Volt DC,10,T,2W,F,F,0.083775040
-8.005067502381e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.7995199561119,Volt DC,10,T,2W,F,F,0.167552340
-7.005384395598e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.6996775865555,Volt DC,10,T,2W,F,F,0.251338900
-6.005237082718e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.5997802615166,Volt DC,10,T,2W,F,F,0.335132820
-5.001822501072e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.4995619952679,Volt DC,10,T,2W,F,F,0.418915800
-4.002527202829e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.3997422754765,Volt DC,10,T,2W,F,F,0.502674760
-2.999156458827e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.2995230257511,Volt DC,10,T,2W,F,F,0.586438740
-1.999577943934e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.1996792256832,Volt DC,10,T,2W,F,F,0.670223100
-1.000091833703e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0998518317938,Volt DC,10,T,2W,F,F,0.754009180
2.126649256695e-08,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0002780061332,Volt DC,10,T,2W,F,F,1.675554180
9.965746357921e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.0996434092522,Volt DC,10,T,2W,F,F,2.676909320
2.001768370974e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.1999728083611,Volt DC,10,T,2W,F,F,3.074369680
3.000989818247e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.2997831106186,Volt DC,10,T,2W,F,F,3.158162860
4.00421777158e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.3999927341938,Volt DC,10,T,2W,F,F,3.241945160
5.00373171235e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.4998154044151,Volt DC,10,T,2W,F,F,3.325710920
6.003477756167e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.5996761918068,Volt DC,10,T,2W,F,F,3.409497420
7.006771193119e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.6998842954636,Volt DC,10,T,2W,F,F,3.493292600
8.006337884581e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.7997318506241,Volt DC,10,T,2W,F,F,3.577048560
9.008930646814e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.8998586535454,Volt DC,10,T,2W,F,F,3.660809400
0.0001000859483611,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.9997081756592,Volt DC,10,T,2W,F,F,3.744583280
