Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,81
Base Time Seconds,1616587173
Base Time Fractional,.745064580
Base Time,03/24/2021 11:59:33.745064580
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.9999165534973,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0865736007690,Volt DC,10,T,2W,T,F,0.000000000
-0.9999139904976,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0850491523743,Volt DC,10,T,2W,T,F,0.083837080
-0.99991106987,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0840306282043,Volt DC,10,T,2W,T,F,0.167635840
-0.9999152421951,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0832333564758,Volt DC,10,T,2W,T,F,0.251426940
-0.9999094605446,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0825756788254,Volt DC,10,T,2W,T,F,0.335194180
-0.9999127984047,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0820108652115,Volt DC,10,T,2W,T,F,0.418970540
-0.9999126791954,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0815119743347,Volt DC,10,T,2W,T,F,0.502763500
-0.9999106526375,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0810641050339,Volt DC,10,T,2W,T,F,0.586566600
-0.9999136328697,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0806634426117,Volt DC,10,T,2W,T,F,0.670352660
-0.9999149441719,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0802998542786,Volt DC,10,T,2W,T,F,0.754136200
-0.9999150633812,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0799500942230,Volt DC,10,T,2W,T,F,0.837903880
-0.9999077916145,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0796346664429,Volt DC,10,T,2W,T,F,0.921684140
-0.9999061822891,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0793298482895,Volt DC,10,T,2W,T,F,1.005465780
-0.9999091625214,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0790505409241,Volt DC,10,T,2W,T,F,1.089237100
-0.9999052882195,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0787729024887,Volt DC,10,T,2W,T,F,1.173012780
-0.999908387661,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0785226821899,Volt DC,10,T,2W,T,F,1.256790020
