Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1616589200
Base Time Fractional,.474991260
Base Time,03/24/2021 12:33:20.474991260
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-8.08784239581e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.9996805191040,Volt DC,10,T,2W,F,F,0.000000000
-7.952452918403e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.9495773315430,Volt DC,10,T,2W,F,F,0.544839480
-7.734398010939e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.8997716903687,Volt DC,10,T,2W,F,F,1.089677000
-7.456087303126e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.8497123718262,Volt DC,10,T,2W,F,F,1.634494280
-6.939941066264e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.7995719909668,Volt DC,10,T,2W,F,F,2.179342600
-7.313199379411e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.7498521804810,Volt DC,10,T,2W,F,F,2.724188460
-6.962825427337e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.6997661590576,Volt DC,10,T,2W,F,F,3.268995160
-7.099083543238e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.6496543884277,Volt DC,10,T,2W,F,F,3.813832400
-7.193693640772e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.5999288558960,Volt DC,10,T,2W,F,F,4.358657300
-6.513315220502e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.5497741699219,Volt DC,10,T,2W,F,F,4.903496280
-6.485207038054e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.4996728897095,Volt DC,10,T,2W,F,F,5.448328040
-6.760100923486e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.4495534896851,Volt DC,10,T,2W,F,F,5.993166000
-6.425444620817e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.3998146057129,Volt DC,10,T,2W,F,F,6.537997960
-6.778493322201e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.3497152328491,Volt DC,10,T,2W,F,F,7.082836760
-6.604648827846e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.2995986938477,Volt DC,10,T,2W,F,F,7.627667640
-6.520238127194e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.2498741149902,Volt DC,10,T,2W,F,F,8.172501320
-6.07631411853e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.1997203826904,Volt DC,10,T,2W,F,F,8.717336060
-4.864225022772e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.1496343612671,Volt DC,10,T,2W,F,F,9.262151580
-4.967230626818e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.0999422073364,Volt DC,10,T,2W,F,F,9.806990220
-4.639364448167e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-9.0497312545776,Volt DC,10,T,2W,F,F,10.351803120
-4.94767604664e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9997406005859,Volt DC,10,T,2W,F,F,10.896622520
-4.471094161573e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9496097564697,Volt DC,10,T,2W,F,F,11.441452200
-4.740832171279e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8998365402222,Volt DC,10,T,2W,F,F,11.986280540
-3.728722219876e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8496732711792,Volt DC,10,T,2W,F,F,12.531101620
-2.928226994214e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7995862960815,Volt DC,10,T,2W,F,F,13.075935600
-7.548519032063e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7498922348022,Volt DC,10,T,2W,F,F,13.620772840
-7.588569772565e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6997623443604,Volt DC,10,T,2W,F,F,14.165594040
-6.371527749849e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6496715545654,Volt DC,10,T,2W,F,F,14.710440540
-6.719766409979e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5999011993408,Volt DC,10,T,2W,F,F,15.255257900
-6.241708261356e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5498361587524,Volt DC,10,T,2W,F,F,15.800092860
-6.354759496396e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4997224807739,Volt DC,10,T,2W,F,F,16.344932360
-5.503484334923e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4496183395386,Volt DC,10,T,2W,F,F,16.889752920
-5.028101268678e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3998651504517,Volt DC,10,T,2W,F,F,17.434588460
-5.170319172798e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3497247695923,Volt DC,10,T,2W,F,F,17.979421800
-5.696582094927e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2996530532837,Volt DC,10,T,2W,F,F,18.524273760
-5.741874198328e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2498817443848,Volt DC,10,T,2W,F,F,19.069110000
-5.570547356726e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1998023986816,Volt DC,10,T,2W,F,F,19.613943100
-5.18452503151e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1497039794922,Volt DC,10,T,2W,F,F,20.158774340
-4.690221544479e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0999126434326,Volt DC,10,T,2W,F,F,20.703605840
-4.548350585054e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0498332977295,Volt DC,10,T,2W,F,F,21.248449380
-3.974758577829e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9997124671936,Volt DC,10,T,2W,F,F,21.793295500
-4.394837271882e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9499764442444,Volt DC,10,T,2W,F,F,22.338132580
-4.138284714905e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8998990058899,Volt DC,10,T,2W,F,F,22.882974400
-3.884350896488e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8497748374939,Volt DC,10,T,2W,F,F,23.427819280
-4.266764164207e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7996821403503,Volt DC,10,T,2W,F,F,23.972660720
-3.858444952431e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7498846054077,Volt DC,10,T,2W,F,F,24.517482280
-3.76401965152e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6998171806335,Volt DC,10,T,2W,F,F,25.062328080
-3.833525719088e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6496949195862,Volt DC,10,T,2W,F,F,25.607156760
-3.640311940778e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5999679565430,Volt DC,10,T,2W,F,F,26.151987880
-3.579186669267e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5498762130737,Volt DC,10,T,2W,F,F,26.696810760
-3.107646640021e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4997568130493,Volt DC,10,T,2W,F,F,27.241648860
-3.281823701684e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4499759674072,Volt DC,10,T,2W,F,F,27.786480660
-3.268319226368e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3998703956604,Volt DC,10,T,2W,F,F,28.331313120
-2.994126058198e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3498139381409,Volt DC,10,T,2W,F,F,28.876166940
-2.718769653853e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2997059822083,Volt DC,10,T,2W,F,F,29.420999220
-2.865239712158e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2499442100525,Volt DC,10,T,2W,F,F,29.965845500
-2.674233889888e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1998577117920,Volt DC,10,T,2W,F,F,30.510690340
-2.660380804542e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1497149467468,Volt DC,10,T,2W,F,F,31.055533980
-2.797417852918e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.0999617576599,Volt DC,10,T,2W,F,F,31.600378500
-2.785600639044e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-7.0499029159546,Volt DC,10,T,2W,F,F,32.145187820
-2.899004092338e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9997644424438,Volt DC,10,T,2W,F,F,32.690022260
-2.69484323745e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9500222206116,Volt DC,10,T,2W,F,F,33.234865740
-2.59902210864e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8999066352844,Volt DC,10,T,2W,F,F,33.779710620
-2.320055952909e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8498158454895,Volt DC,10,T,2W,F,F,34.324559120
-2.523924402809e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7996845245361,Volt DC,10,T,2W,F,F,34.869409680
-2.97543989447e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7499461174011,Volt DC,10,T,2W,F,F,35.414250140
-2.737513271622e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6998405456543,Volt DC,10,T,2W,F,F,35.959088880
-2.745723093334e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6497116088867,Volt DC,10,T,2W,F,F,36.503910300
-2.688322897626e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5999617576599,Volt DC,10,T,2W,F,F,37.048744700
-2.783621111391e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5498480796814,Volt DC,10,T,2W,F,F,37.593602700
-2.60396981755e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4997706413269,Volt DC,10,T,2W,F,F,38.138444320
-2.710910940174e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4500041007996,Volt DC,10,T,2W,F,F,38.683288360
-2.596460269011e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.3998842239380,Volt DC,10,T,2W,F,F,39.228111720
-2.745374483304e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.3498158454895,Volt DC,10,T,2W,F,F,39.772916420
-2.506343466102e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.2996835708618,Volt DC,10,T,2W,F,F,40.317751700
-2.364298479218e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Rear,F,Main,-6.2499356269836,Volt DC,10,T,2W,F,F,40.862587560
