Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1616588699
Base Time Fractional,.381537580
Base Time,03/24/2021 12:24:59.381537580
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.4005943834782,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.9990954399109,Volt DC,10,T,2W,T,F,0.000000000
-0.3999609947205,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4199881553650,Volt DC,10,T,2W,T,F,0.083816340
-0.399956882,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4210147857666,Volt DC,10,T,2W,T,F,0.167594140
-0.3999551832676,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4226937294006,Volt DC,10,T,2W,T,F,0.251361980
-0.3999598026276,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4255547523499,Volt DC,10,T,2W,T,F,0.335102160
-0.3999562859535,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4284362792969,Volt DC,10,T,2W,T,F,0.418829140
-0.3999573886395,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4314951896667,Volt DC,10,T,2W,T,F,0.502589200
-0.399958640337,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4369425773621,Volt DC,10,T,2W,T,F,0.586354400
-0.3999532461166,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4398040771484,Volt DC,10,T,2W,T,F,0.670107120
-0.3999574780464,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4419674873352,Volt DC,10,T,2W,T,F,0.753840560
-0.3999550640583,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4438352584839,Volt DC,10,T,2W,T,F,0.837600000
-0.3999528884888,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4455275535583,Volt DC,10,T,2W,T,F,0.921349740
-0.3999527990818,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4474444389343,Volt DC,10,T,2W,T,F,1.005116820
-0.3999562859535,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4492063522339,Volt DC,10,T,2W,T,F,1.088864840
-0.3999552130699,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4510068893433,Volt DC,10,T,2W,T,F,1.172609660
-0.3999561667442,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4521207809448,Volt DC,10,T,2W,T,F,1.256353720
-0.3999555110931,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4530439376831,Volt DC,10,T,2W,T,F,1.340111840
-0.399955034256,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4541387557983,Volt DC,10,T,2W,T,F,1.423862460
-0.3999584913254,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4541506767273,Volt DC,10,T,2W,T,F,1.507614540
-0.3999534249306,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4547352790833,Volt DC,10,T,2W,T,F,1.591370720
-0.3999552130699,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4549398422241,Volt DC,10,T,2W,T,F,1.675105560
-0.3999575078487,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4547224044800,Volt DC,10,T,2W,T,F,1.758876460
-0.3999550044537,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4532780647278,Volt DC,10,T,2W,T,F,1.842621980
-0.3999586999416,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4547705650330,Volt DC,10,T,2W,T,F,1.926377860
-0.3999561965466,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4560441970825,Volt DC,10,T,2W,T,F,2.010134360
-0.3999528288841,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4521737098694,Volt DC,10,T,2W,T,F,2.093889880
-0.3999561965466,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4525547027588,Volt DC,10,T,2W,T,F,2.177657840
-0.3999575078487,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4523596763611,Volt DC,10,T,2W,T,F,2.261419920
-0.3999556601048,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4495697021484,Volt DC,10,T,2W,T,F,2.345179940
-0.3999533951283,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4468894004822,Volt DC,10,T,2W,T,F,2.428930640
-0.3999556899071,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4478588104248,Volt DC,10,T,2W,T,F,2.512701860
-0.3999509811401,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4501042366028,Volt DC,10,T,2W,T,F,2.596446220
-0.3999544680119,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4526820182800,Volt DC,10,T,2W,T,F,2.680207020
-0.3999509215355,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4562039375305,Volt DC,10,T,2W,T,F,2.763945480
-0.3999560773373,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4610781669617,Volt DC,10,T,2W,T,F,2.847705200
-0.3999499678612,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4644818305969,Volt DC,10,T,2W,T,F,2.931431520
-0.3999469876289,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4674258232117,Volt DC,10,T,2W,T,F,3.015194340
-0.3999536633492,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4676575660706,Volt DC,10,T,2W,T,F,3.098954040
-0.3999527394772,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4715080261230,Volt DC,10,T,2W,T,F,3.182719560
-0.3999509811401,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4782772064209,Volt DC,10,T,2W,T,F,3.266484540
-0.3999502956867,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-5.4793343544006,Volt DC,10,T,2W,T,F,3.350223900
