Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1616588825
Base Time Fractional,.242541540
Base Time,03/24/2021 12:27:05.242541540
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.3999748826027,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1666098833084,Volt DC,10,T,2W,T,F,0.000000000
-0.3999748528004,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1645727157593,Volt DC,10,T,2W,T,F,0.083802740
-0.3999679684639,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1632000207901,Volt DC,10,T,2W,T,F,0.167568040
-0.399970293045,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1620775461197,Volt DC,10,T,2W,T,F,0.251308040
-0.3999758660793,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1611102819443,Volt DC,10,T,2W,T,F,0.335071280
-0.3999650776386,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1602427959442,Volt DC,10,T,2W,T,F,0.418842360
-0.399970293045,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1594493389130,Volt DC,10,T,2W,T,F,0.502588120
-0.3999737799168,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1587079763412,Volt DC,10,T,2W,T,F,0.586343140
-0.3999698162079,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1580084562302,Volt DC,10,T,2W,T,F,0.670098840
-0.3999701142311,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1573448181152,Volt DC,10,T,2W,T,F,0.753843800
-0.3999656140804,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1567044258118,Volt DC,10,T,2W,T,F,0.837602900
-0.3999626934528,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1560877561569,Volt DC,10,T,2W,T,F,0.921358200
-0.3999631404877,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1554845571518,Volt DC,10,T,2W,T,F,1.005117400
-0.3999672830105,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1549061536789,Volt DC,10,T,2W,T,F,1.088876500
-0.3999691605568,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1543372869492,Volt DC,10,T,2W,T,F,1.172637180
-0.3999714255333,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1537758111954,Volt DC,10,T,2W,T,F,1.256401580
-0.3999702632427,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1532297134399,Volt DC,10,T,2W,T,F,1.340152220
-0.3999647796154,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1526943445206,Volt DC,10,T,2W,T,F,1.423891700
-0.3999714255333,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1521706581116,Volt DC,10,T,2W,T,F,1.507638540
-0.3999690115452,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1516450643539,Volt DC,10,T,2W,T,F,1.591404000
-0.3999737799168,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1511372327805,Volt DC,10,T,2W,T,F,1.675141900
-0.3999732136726,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1506292819977,Volt DC,10,T,2W,T,F,1.758879380
-0.3999597728252,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1501280069351,Volt DC,10,T,2W,T,F,1.842644160
-0.3999632000923,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1496440172195,Volt DC,10,T,2W,T,F,1.926406000
-0.3999667465687,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1491578817368,Volt DC,10,T,2W,T,F,2.010141800
-0.3999667167664,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1486797332764,Volt DC,10,T,2W,T,F,2.093901500
-0.3999638557434,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1482053995132,Volt DC,10,T,2W,T,F,2.177656220
-0.3999684154987,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1477535963058,Volt DC,10,T,2W,T,F,2.261404140
-0.3999654650688,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1472926139832,Volt DC,10,T,2W,T,F,2.345137440
-0.3999566435814,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1468364000320,Volt DC,10,T,2W,T,F,2.428880200
-0.3999695777893,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1463977098465,Volt DC,10,T,2W,T,F,2.512653000
-0.3999685049057,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1459546089172,Volt DC,10,T,2W,T,F,2.596401780
-0.3999702632427,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1455216407776,Volt DC,10,T,2W,T,F,2.680136760
-0.3999702036381,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1450977325439,Volt DC,10,T,2W,T,F,2.763893680
-0.3999690711498,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1446763277054,Volt DC,10,T,2W,T,F,2.847652600
-0.3999662101269,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1442596912384,Volt DC,10,T,2W,T,F,2.931407440
-0.3999608457088,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1438400745392,Volt DC,10,T,2W,T,F,3.015148800
-0.39996778965,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1434357166290,Volt DC,10,T,2W,T,F,3.098921160
-0.3999632298946,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1430295705795,Volt DC,10,T,2W,T,F,3.182674440
-0.3999627530575,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1426291465759,Volt DC,10,T,2W,T,F,3.266412520
-0.3999643921852,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1422443389893,Volt DC,10,T,2W,T,F,3.350174940
-0.399959564209,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1418535709381,Volt DC,10,T,2W,T,F,3.433930400
-0.3999648690224,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1414784193039,Volt DC,10,T,2W,T,F,3.517674500
-0.3999584317207,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1411054134369,Volt DC,10,T,2W,T,F,3.601440340
-0.3999665677547,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1407300233841,Volt DC,10,T,2W,T,F,3.685202720
-0.3999702036381,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1403642892838,Volt DC,10,T,2W,T,F,3.768948340
-0.3999655544758,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1399960517883,Volt DC,10,T,2W,T,F,3.852690080
-0.3999620974064,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1396415233612,Volt DC,10,T,2W,T,F,3.936438060
-0.3999626338482,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1392800807953,Volt DC,10,T,2W,T,F,4.020195180
-0.3999679684639,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1389269828796,Volt DC,10,T,2W,T,F,4.103956000
-0.3999597132206,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1385779380798,Volt DC,10,T,2W,T,F,4.187705200
-0.3999702632427,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1382397413254,Volt DC,10,T,2W,T,F,4.271460620
-0.39996483922,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1378985643387,Volt DC,10,T,2W,T,F,4.355205620
-0.39995855093,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1375594139099,Volt DC,10,T,2W,T,F,4.438951880
-0.3999651372433,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1372364759445,Volt DC,10,T,2W,T,F,4.522706160
-0.3999673426151,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1369117498398,Volt DC,10,T,2W,T,F,4.606473500
-0.3999626338482,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1365906000137,Volt DC,10,T,2W,T,F,4.690222980
-0.3999633491039,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1362665891647,Volt DC,10,T,2W,T,F,4.773976700
-0.3999638557434,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1359521150589,Volt DC,10,T,2W,T,F,4.857728120
-0.3999562263489,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1356402635574,Volt DC,10,T,2W,T,F,4.941478080
-0.3999580144882,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1353331804276,Volt DC,10,T,2W,T,F,5.025225300
-0.3999626040459,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1350315809250,Volt DC,10,T,2W,T,F,5.108975340
-0.3999613523483,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1347334384918,Volt DC,10,T,2W,T,F,5.192730300
-0.3999572992325,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1344356536865,Volt DC,10,T,2W,T,F,5.276474900
-0.399959564209,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1341397762299,Volt DC,10,T,2W,T,F,5.360212780
-0.3999578356743,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1338418722153,Volt DC,10,T,2W,T,F,5.443966580
-0.3999620378017,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1335453987122,Volt DC,10,T,2W,T,F,5.527714200
-0.3999584615231,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1332565546036,Volt DC,10,T,2W,T,F,5.611462940
-0.3999555110931,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1329675912857,Volt DC,10,T,2W,T,F,5.695203060
-0.399959474802,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1326798200607,Volt DC,10,T,2W,T,F,5.778953620
-0.3999554514885,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1323971748352,Volt DC,10,T,2W,T,F,5.862698580
-0.3999572992325,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1321249008179,Volt DC,10,T,2W,T,F,5.946440700
-0.399958640337,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1318564414978,Volt DC,10,T,2W,T,F,6.030189880
-0.3999573588371,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1315835714340,Volt DC,10,T,2W,T,F,6.113954320
-0.3999590873718,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1313201189041,Volt DC,10,T,2W,T,F,6.197711580
