Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1616607222
Base Time Fractional,.746506580
Base Time,03/24/2021 17:33:42.746506580
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.9999207258224,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-7.0857939720154,Volt DC,10,T,2W,T,F,0.000000000
-0.9999292492867,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-7.0859174728394,Volt DC,10,T,2W,T,F,0.083804640
-0.9999278783798,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-7.0775704383850,Volt DC,10,T,2W,T,F,0.167568840
-0.9999276399612,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-7.0622177124023,Volt DC,10,T,2W,T,F,0.251348360
-0.9999293684959,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-7.0405969619751,Volt DC,10,T,2W,T,F,0.335119020
-0.9999244809151,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-7.0136194229126,Volt DC,10,T,2W,T,F,0.418892860
-0.9999312162399,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.9819231033325,Volt DC,10,T,2W,T,F,0.502674000
-0.9999338984489,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.9459428787231,Volt DC,10,T,2W,T,F,0.586452000
-0.9999325871468,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.9070043563843,Volt DC,10,T,2W,T,F,0.670224460
-0.9999312162399,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.8649353981018,Volt DC,10,T,2W,T,F,0.754006120
-0.9999319314957,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.8203101158142,Volt DC,10,T,2W,T,F,0.837789360
-0.9999274611473,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.7732419967651,Volt DC,10,T,2W,T,F,0.921560460
-0.9999271035194,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.7240843772888,Volt DC,10,T,2W,T,F,1.005337680
-0.9999358057976,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.6731548309326,Volt DC,10,T,2W,T,F,1.089116860
-0.9999343752861,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.6207175254822,Volt DC,10,T,2W,T,F,1.172891700
-0.9999351501465,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.5674233436584,Volt DC,10,T,2W,T,F,1.256665220
-0.9999359846115,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.5142359733582,Volt DC,10,T,2W,T,F,1.340423980
-0.9999372959137,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.4608879089355,Volt DC,10,T,2W,T,F,1.424198940
-0.9999343752861,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.4069218635559,Volt DC,10,T,2W,T,F,1.507978040
-0.9999308586121,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.3531312942505,Volt DC,10,T,2W,T,F,1.591742620
-0.9999364614487,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2999644279480,Volt DC,10,T,2W,T,F,1.675520760
-0.9999387264252,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.2479052543640,Volt DC,10,T,2W,T,F,1.759297580
-0.9999301433563,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1967062950134,Volt DC,10,T,2W,T,F,1.843074060
-0.9999362230301,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.1465144157410,Volt DC,10,T,2W,T,F,1.926847620
-0.9999338984489,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.0980691909790,Volt DC,10,T,2W,T,F,2.010629000
-0.9999358057976,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.0508775711060,Volt DC,10,T,2W,T,F,2.094394620
-0.9999375343323,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-6.0045742988586,Volt DC,10,T,2W,T,F,2.178167320
-0.9999346137047,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-5.9593486785889,Volt DC,10,T,2W,T,F,2.261936460
