Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,201
Base Time Seconds,1616607073
Base Time Fractional,.035513820
Base Time,03/24/2021 17:31:13.035513820
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-2.031435997196e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.9997324943542,Volt DC,10,T,2W,F,F,0.000000000
-2.0243801373e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.9499945640564,Volt DC,10,T,2W,F,F,0.084771920
-2.01649572773e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.8999199867249,Volt DC,10,T,2W,F,F,0.169519240
-2.008664068853e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.8498039245605,Volt DC,10,T,2W,F,F,0.254275580
-1.987708628803e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.7997126579285,Volt DC,10,T,2W,F,F,0.339022620
-1.9819372028e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.7499027252197,Volt DC,10,T,2W,F,F,0.423783280
-1.979062744795e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.6998147964478,Volt DC,10,T,2W,F,F,0.508512900
-1.977656665986e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.6497282981873,Volt DC,10,T,2W,F,F,0.593277360
-1.963967179108e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.5999593734741,Volt DC,10,T,2W,F,F,0.678033940
-1.953698301804e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.5498809814453,Volt DC,10,T,2W,F,F,0.762769240
-1.946190423041e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.4997620582581,Volt DC,10,T,2W,F,F,0.847516120
-1.939932644746e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.4500150680542,Volt DC,10,T,2W,F,F,0.932268160
-1.932372242663e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.3999266624451,Volt DC,10,T,2W,F,F,1.017031860
-1.925162905536e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.3497877120972,Volt DC,10,T,2W,F,F,1.101774220
-1.913868118208e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.2997198104858,Volt DC,10,T,2W,F,F,1.186528680
-1.906357852022e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.2499299049377,Volt DC,10,T,2W,F,F,1.271295980
-1.904284317789e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.1998333930969,Volt DC,10,T,2W,F,F,1.356047180
-1.891969418466e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.1497302055359,Volt DC,10,T,2W,F,F,1.440803540
-1.87892521808e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.0999674797058,Volt DC,10,T,2W,F,F,1.525557820
-1.873830910881e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-4.0498690605164,Volt DC,10,T,2W,F,F,1.610316540
-1.869073798844e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.9997496604919,Volt DC,10,T,2W,F,F,1.695054440
-1.856141807366e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.9499955177307,Volt DC,10,T,2W,F,F,1.779833300
-1.847097905738e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.8998389244080,Volt DC,10,T,2W,F,F,1.864587160
-1.841245307332e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.8497700691223,Volt DC,10,T,2W,F,F,1.949347640
-1.831168219724e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.7997007369995,Volt DC,10,T,2W,F,F,2.034094400
-1.823419665925e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.7498934268951,Volt DC,10,T,2W,F,F,2.118858180
-1.817011025196e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.6998183727264,Volt DC,10,T,2W,F,F,2.203622500
-1.809579430301e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.6496992111206,Volt DC,10,T,2W,F,F,2.288384720
-1.802632596082e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.5999441146851,Volt DC,10,T,2W,F,F,2.373146440
-1.796288529476e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.5498349666595,Volt DC,10,T,2W,F,F,2.457898700
-1.784180881259e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.4997651576996,Volt DC,10,T,2W,F,F,2.542649680
-1.775801138137e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.4500102996826,Volt DC,10,T,2W,F,F,2.627393120
-1.766968125594e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.3998725414276,Volt DC,10,T,2W,F,F,2.712158300
-1.757513700795e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.3497831821442,Volt DC,10,T,2W,F,F,2.796921480
-1.748474119267e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.2996568679810,Volt DC,10,T,2W,F,F,2.881682540
-1.743755660755e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.2498986721039,Volt DC,10,T,2W,F,F,2.966429400
-1.734790998853e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.1998295783997,Volt DC,10,T,2W,F,F,3.051179280
-1.725881361381e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.1497094631195,Volt DC,10,T,2W,F,F,3.135945440
-1.717598934192e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.0999755859375,Volt DC,10,T,2W,F,F,3.220697640
-1.708912122922e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-3.0498292446136,Volt DC,10,T,2W,F,F,3.305468280
-1.701076598692e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.9997475147247,Volt DC,10,T,2W,F,F,3.390234780
-1.691751435828e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.9499573707581,Volt DC,10,T,2W,F,F,3.474984800
-1.681691173872e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.8998708724976,Volt DC,10,T,2W,F,F,3.559744060
-1.674862460277e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.8498032093048,Volt DC,10,T,2W,F,F,3.644502780
-1.661112037254e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.7996804714203,Volt DC,10,T,2W,F,F,3.729256740
-1.650548142607e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.7499258518219,Volt DC,10,T,2W,F,F,3.814007020
-1.643449991207e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,-2.6997861862183,Volt DC,10,T,2W,F,F,3.898756120
