Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,201
Base Time Seconds,1616608193
Base Time Fractional,.302513540
Base Time,03/24/2021 17:49:53.302513540
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.1323895305395,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.9997525215149,Volt DC,10,T,2W,F,F,0.000000000
-0.1310966163874,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.9500107765198,Volt DC,10,T,2W,F,F,0.083810180
-0.1287639886141,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.8999419212341,Volt DC,10,T,2W,F,F,0.167565320
-0.1264231950045,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.8498187065125,Volt DC,10,T,2W,F,F,0.251331860
-0.1227072924376,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.7997255325317,Volt DC,10,T,2W,F,F,0.335106300
-0.1230684146285,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.7499217987061,Volt DC,10,T,2W,F,F,0.418870180
-0.121059641242,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.6998353004456,Volt DC,10,T,2W,F,F,0.502633000
-0.1189808025956,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.6497640609741,Volt DC,10,T,2W,F,F,0.586401680
-0.1168068572879,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.5999784469604,Volt DC,10,T,2W,F,F,0.670167300
-0.114620745182,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.5498991012573,Volt DC,10,T,2W,F,F,0.753931500
-0.1125074476004,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-4.4997687339783,Volt DC,10,T,2W,F,F,0.837695080
