Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,977
Base Time Seconds,1616608599
Base Time Fractional,.961290920
Base Time,03/24/2021 17:56:39.961290920
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.5001502037048,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-12.1027078628540,Volt DC,10,T,2W,T,F,0.000000000
-0.4999681711197,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.9544467926025,Volt DC,10,T,2W,T,F,0.083815620
-0.4999504685402,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.5271339416504,Volt DC,10,T,2W,T,F,0.167553140
-0.4999469518661,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.4286832809448,Volt DC,10,T,2W,T,F,0.251291280
-0.4999482631683,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.3714361190796,Volt DC,10,T,2W,T,F,0.335035920
-0.4999458789825,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.3205442428589,Volt DC,10,T,2W,T,F,0.418772220
-0.4999440908432,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.2762899398804,Volt DC,10,T,2W,T,F,0.502528520
-0.4999440908432,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.2388973236084,Volt DC,10,T,2W,T,F,0.586265920
-0.4999440312386,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.2000389099121,Volt DC,10,T,2W,T,F,0.670009540
-0.4999486207962,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.1625518798828,Volt DC,10,T,2W,T,F,0.753766020
-0.499947488308,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.1237993240356,Volt DC,10,T,2W,T,F,0.837505400
-0.4999758005142,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-11.0203695297241,Volt DC,10,T,2W,T,F,0.921271700
-0.4999508261681,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.9847164154053,Volt DC,10,T,2W,T,F,1.005013520
-0.4999462366104,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.9586334228516,Volt DC,10,T,2W,T,F,1.088750300
-0.4999376535416,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.9359636306763,Volt DC,10,T,2W,T,F,1.172491420
-0.4999440908432,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.9160709381104,Volt DC,10,T,2W,T,F,1.256248060
-0.4999441504478,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.8968820571899,Volt DC,10,T,2W,T,F,1.339997960
-0.4999313354492,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.8785190582275,Volt DC,10,T,2W,T,F,1.423759540
-0.4999457001686,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.8630733489990,Volt DC,10,T,2W,T,F,1.507523980
-0.499945640564,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.8481359481812,Volt DC,10,T,2W,T,F,1.591260100
-0.4999355077744,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.8353271484375,Volt DC,10,T,2W,T,F,1.675008740
-0.4999432563782,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.8224630355835,Volt DC,10,T,2W,T,F,1.758764300
-0.4999414682388,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.8111429214478,Volt DC,10,T,2W,T,F,1.842505580
-0.4999409914017,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.8018836975098,Volt DC,10,T,2W,T,F,1.926257000
-0.4999393224716,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7928972244263,Volt DC,10,T,2W,T,F,2.009995260
-0.4999462962151,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7851562500000,Volt DC,10,T,2W,T,F,2.093746760
-0.499941110611,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7773075103760,Volt DC,10,T,2W,T,F,2.177504760
-0.4999439120293,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7702322006226,Volt DC,10,T,2W,T,F,2.261247800
-0.4999398589134,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7640380859375,Volt DC,10,T,2W,T,F,2.344996740
-0.4999347031116,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7571544647217,Volt DC,10,T,2W,T,F,2.428762280
-0.4999423623085,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7520503997803,Volt DC,10,T,2W,T,F,2.512501240
-0.4999393820763,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7475395202637,Volt DC,10,T,2W,T,F,2.596251380
-0.4999420642853,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7430953979492,Volt DC,10,T,2W,T,F,2.680005680
-0.4999433159828,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7401142120361,Volt DC,10,T,2W,T,F,2.763776240
-0.4999369084835,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7362918853760,Volt DC,10,T,2W,T,F,2.847526480
-0.4999369084835,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7333660125732,Volt DC,10,T,2W,T,F,2.931261060
-0.499942779541,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7290668487549,Volt DC,10,T,2W,T,F,3.015016140
-0.4999467730522,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7263307571411,Volt DC,10,T,2W,T,F,3.098757260
-0.4999443888664,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7238512039185,Volt DC,10,T,2W,T,F,3.182515420
-0.4999463558197,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7211618423462,Volt DC,10,T,2W,T,F,3.266261400
-0.4999457001686,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7198505401611,Volt DC,10,T,2W,T,F,3.350010560
-0.4999416470528,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7155780792236,Volt DC,10,T,2W,T,F,3.433779760
-0.4999439716339,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7133693695068,Volt DC,10,T,2W,T,F,3.517522160
-0.499940931797,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7112874984741,Volt DC,10,T,2W,T,F,3.601269760
-0.4999413490295,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7076253890991,Volt DC,10,T,2W,T,F,3.685024780
-0.4999420046806,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7048044204712,Volt DC,10,T,2W,T,F,3.768775100
-0.499940097332,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.7021360397339,Volt DC,10,T,2W,T,F,3.852517860
-0.4999428987503,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6995658874512,Volt DC,10,T,2W,T,F,3.936270820
-0.4999335408211,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6979722976685,Volt DC,10,T,2W,T,F,4.020003600
-0.4999399781227,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6954460144043,Volt DC,10,T,2W,T,F,4.103754500
-0.4999395012856,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6930875778198,Volt DC,10,T,2W,T,F,4.187520480
-0.4999421834946,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6906042098999,Volt DC,10,T,2W,T,F,4.271265000
-0.4999433159828,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6877546310425,Volt DC,10,T,2W,T,F,4.355016220
-0.499941110611,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6868200302124,Volt DC,10,T,2W,T,F,4.438781200
-0.4999405145645,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6815052032471,Volt DC,10,T,2W,T,F,4.522532540
-0.4999363124371,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6771659851074,Volt DC,10,T,2W,T,F,4.606280760
-0.499947488308,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6717758178711,Volt DC,10,T,2W,T,F,4.690026160
-0.4999415874481,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-10.6691513061523,Volt DC,10,T,2W,T,F,4.773784960
