Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1001
Base Time Seconds,1616608922
Base Time Fractional,.242806960
Base Time,03/24/2021 18:02:02.242806960
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.2246330827475,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.9996967315674,Volt DC,10,T,2W,F,F,0.000000000
-0.2200642675161,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.9796352386475,Volt DC,10,T,2W,F,F,0.083776360
-0.2149842977524,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.9595766067505,Volt DC,10,T,2W,F,F,0.167514720
-0.2065942883492,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.9399023056030,Volt DC,10,T,2W,F,F,0.251293940
-0.2005643546581,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.9198637008667,Volt DC,10,T,2W,F,F,0.335058920
-0.1949253827333,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.8997774124146,Volt DC,10,T,2W,F,F,0.418832300
-0.1876077800989,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.8797397613525,Volt DC,10,T,2W,F,F,0.502583160
-0.1846789270639,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.8597335815430,Volt DC,10,T,2W,F,F,0.586335200
-0.1800545752048,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.8396911621094,Volt DC,10,T,2W,F,F,0.670092320
-0.1761169284582,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.8196477890015,Volt DC,10,T,2W,F,F,0.753861220
-0.1724587380886,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.7995843887329,Volt DC,10,T,2W,F,F,0.837614500
-0.169348359108,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.7799024581909,Volt DC,10,T,2W,F,F,0.921378800
-0.1662882715464,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.7598752975464,Volt DC,10,T,2W,F,F,1.005151280
-0.1644480675459,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.7398357391357,Volt DC,10,T,2W,F,F,1.088908240
-0.162470266223,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.7197761535645,Volt DC,10,T,2W,F,F,1.172658920
-0.1597880423069,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.6997718811035,Volt DC,10,T,2W,F,F,1.256419320
-0.1583108156919,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.6797351837158,Volt DC,10,T,2W,F,F,1.340195520
-0.1550657302141,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.6596651077271,Volt DC,10,T,2W,F,F,1.423967140
-0.1515878140926,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.6396265029907,Volt DC,10,T,2W,F,F,1.507743200
-0.1464185118675,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.6195650100708,Volt DC,10,T,2W,F,F,1.591522280
-0.1651628017426,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.5999317169189,Volt DC,10,T,2W,F,F,1.675298340
-0.1628505885601,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.5798664093018,Volt DC,10,T,2W,F,F,1.759077800
-0.1605599671602,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.5598077774048,Volt DC,10,T,2W,F,F,1.842850800
-0.1601089537144,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.5397386550903,Volt DC,10,T,2W,F,F,1.926619640
-0.1589595973492,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.5197496414185,Volt DC,10,T,2W,F,F,2.010391180
-0.1565365791321,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.4996776580811,Volt DC,10,T,2W,F,F,2.094164520
-0.1542710363865,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.4796504974365,Volt DC,10,T,2W,F,F,2.177925640
-0.1527353674173,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.4595804214478,Volt DC,10,T,2W,F,F,2.261690460
-0.1509203761816,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.4399223327637,Volt DC,10,T,2W,F,F,2.345448720
-0.1487715393305,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.4198532104492,Volt DC,10,T,2W,F,F,2.429224920
-0.148385360837,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.3998308181763,Volt DC,10,T,2W,F,F,2.512976740
-0.1458076238632,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.3797607421875,Volt DC,10,T,2W,F,F,2.596751820
-0.1441582739353,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.3597221374512,Volt DC,10,T,2W,F,F,2.680540140
-0.1432498395443,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.3397026062012,Volt DC,10,T,2W,F,F,2.764301960
-0.1382199674845,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.3196477890015,Volt DC,10,T,2W,F,F,2.848051620
-0.1375379413366,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.2996082305908,Volt DC,10,T,2W,F,F,2.931824720
-0.1370379328728,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.2798938751221,Volt DC,10,T,2W,F,F,3.015589600
-0.1357864439487,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.2598962783813,Volt DC,10,T,2W,F,F,3.099362120
-0.1331294327974,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.2398509979248,Volt DC,10,T,2W,F,F,3.183142980
-0.1316842287779,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.2198038101196,Volt DC,10,T,2W,F,F,3.266908860
-0.13412360847,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.1997251510620,Volt DC,10,T,2W,F,F,3.350682020
-0.1223905459046,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.1797208786011,Volt DC,10,T,2W,F,F,3.434429360
-0.1255224943161,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.1596603393555,Volt DC,10,T,2W,F,F,3.518178280
-0.1250609755516,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.1396446228027,Volt DC,10,T,2W,F,F,3.601954900
-0.1242838576436,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.1195783615112,Volt DC,10,T,2W,F,F,3.685728660
-0.1276736408472,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.0999164581299,Volt DC,10,T,2W,F,F,3.769492380
-0.121569044888,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.0798501968384,Volt DC,10,T,2W,F,F,3.853262380
-0.1204639747739,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.0598478317261,Volt DC,10,T,2W,F,F,3.937013600
-0.1200514808297,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.0397567749023,Volt DC,10,T,2W,F,F,4.020781880
-0.1190789043903,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-9.0197105407715,Volt DC,10,T,2W,F,F,4.104566140
-0.1169814094901,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9996919631958,Volt DC,10,T,2W,F,F,4.188335500
-0.1159102618694,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9796552658081,Volt DC,10,T,2W,F,F,4.272102780
-0.1146149933338,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9596109390259,Volt DC,10,T,2W,F,F,4.355880420
-0.112617880106,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9399118423462,Volt DC,10,T,2W,F,F,4.439647580
-0.1122549846768,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9199113845825,Volt DC,10,T,2W,F,F,4.523395480
-0.1108681634068,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8998708724976,Volt DC,10,T,2W,F,F,4.607168460
-0.1092018187046,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8797931671143,Volt DC,10,T,2W,F,F,4.690931580
-0.1084042713046,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8597373962402,Volt DC,10,T,2W,F,F,4.774699600
-0.1069847345352,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8397350311279,Volt DC,10,T,2W,F,F,4.858480560
-0.105639308691,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8196811676025,Volt DC,10,T,2W,F,F,4.942255080
-0.1041842103004,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7996511459351,Volt DC,10,T,2W,F,F,5.026003140
-0.102813705802,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7799186706543,Volt DC,10,T,2W,F,F,5.109777220
-0.101496309042,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7599229812622,Volt DC,10,T,2W,F,F,5.193552060
-0.09757463634014,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7398214340210,Volt DC,10,T,2W,F,F,5.397534820
-0.09597893804312,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7197647094727,Volt DC,10,T,2W,F,F,5.481340220
-0.09441510587931,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6996955871582,Volt DC,10,T,2W,F,F,5.565123280
-0.09470696747303,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6796598434448,Volt DC,10,T,2W,F,F,5.648898640
-0.09315700083971,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6596584320068,Volt DC,10,T,2W,F,F,5.732688320
-0.09250776469707,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6396055221558,Volt DC,10,T,2W,F,F,5.816462160
-0.09172708541155,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6195564270020,Volt DC,10,T,2W,F,F,5.900225660
-0.09166843444109,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5998630523682,Volt DC,10,T,2W,F,F,5.984007940
-0.09066493809223,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5798616409302,Volt DC,10,T,2W,F,F,6.067763520
-0.08965388685465,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5598030090332,Volt DC,10,T,2W,F,F,6.151543380
-0.08762787282467,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5397396087646,Volt DC,10,T,2W,F,F,6.235301140
-0.0864681750536,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5196876525879,Volt DC,10,T,2W,F,F,6.319069260
-0.08487855643034,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4995317459106,Volt DC,10,T,2W,F,F,6.402835340
-0.08910872787237,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4796438217163,Volt DC,10,T,2W,F,F,6.486589720
-0.08762156963348,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4596233367920,Volt DC,10,T,2W,F,F,6.570371100
-0.08618541806936,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4398918151855,Volt DC,10,T,2W,F,F,6.654137620
-0.08659288287163,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4198331832886,Volt DC,10,T,2W,F,F,6.737908520
-0.08465380221605,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3997678756714,Volt DC,10,T,2W,F,F,6.821677240
-0.07804485410452,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3797578811646,Volt DC,10,T,2W,F,F,6.905443340
-0.07619098573923,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3596878051758,Volt DC,10,T,2W,F,F,6.989216780
-0.07767987251282,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3396596908569,Volt DC,10,T,2W,F,F,7.072992500
-0.07664177566767,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3196582794189,Volt DC,10,T,2W,F,F,7.156766380
-0.07518790662289,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2996110916138,Volt DC,10,T,2W,F,F,7.240551880
-0.0731765627861,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2799215316772,Volt DC,10,T,2W,F,F,7.324330080
-0.07360196858644,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2598676681519,Volt DC,10,T,2W,F,F,7.408090380
-0.07322988659143,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2398452758789,Volt DC,10,T,2W,F,F,7.491869400
-0.07314528524876,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2198085784912,Volt DC,10,T,2W,F,F,7.575623880
-0.07221306115389,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1997661590576,Volt DC,10,T,2W,F,F,7.659385080
-0.07133115082979,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1796903610229,Volt DC,10,T,2W,F,F,7.743131740
-0.07123022526503,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1596937179565,Volt DC,10,T,2W,F,F,7.826904660
-0.0696277320385,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1396446228027,Volt DC,10,T,2W,F,F,7.910671760
-0.06866692751646,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1196250915527,Volt DC,10,T,2W,F,F,7.994420500
-0.06714522093534,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0998811721802,Volt DC,10,T,2W,F,F,8.078190240
-0.06577855348587,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0798196792603,Volt DC,10,T,2W,F,F,8.161941220
-0.06517420709133,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0598201751709,Volt DC,10,T,2W,F,F,8.245711060
-0.06436120718718,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0397777557373,Volt DC,10,T,2W,F,F,8.329470740
-0.06349414587021,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0197134017944,Volt DC,10,T,2W,F,F,8.413234820
-0.06338733434677,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9996819496155,Volt DC,10,T,2W,F,F,8.496999360
-0.0623863786459,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9796772003174,Volt DC,10,T,2W,F,F,8.580769800
-0.06167971715331,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9596161842346,Volt DC,10,T,2W,F,F,8.664552660
-0.06099040433764,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9399242401123,Volt DC,10,T,2W,F,F,8.748313460
-0.06054371595383,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9198541641235,Volt DC,10,T,2W,F,F,8.832071520
-0.05992540717125,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8998632431030,Volt DC,10,T,2W,F,F,8.915852980
-0.05903651937842,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8798141479492,Volt DC,10,T,2W,F,F,8.999632440
-0.05840081349015,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8597660064697,Volt DC,10,T,2W,F,F,9.083408620
-0.05787907540798,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8397030830383,Volt DC,10,T,2W,F,F,9.167166640
-0.05732303857803,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8197159767151,Volt DC,10,T,2W,F,F,9.250930780
-0.05677722766995,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7996487617493,Volt DC,10,T,2W,F,F,9.334717220
-0.05608254671097,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7799181938171,Volt DC,10,T,2W,F,F,9.418470240
-0.05557066947222,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7598843574524,Volt DC,10,T,2W,F,F,9.502241460
-0.05504352226853,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7398428916931,Volt DC,10,T,2W,F,F,9.586018280
-0.05444499850273,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7198290824890,Volt DC,10,T,2W,F,F,9.669782620
-0.05368284508586,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6997885704041,Volt DC,10,T,2W,F,F,9.753576200
-0.05336095392704,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6797485351563,Volt DC,10,T,2W,F,F,9.837316800
-0.05273948609829,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6596927642822,Volt DC,10,T,2W,F,F,9.921070560
-0.05204850807786,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6396741867065,Volt DC,10,T,2W,F,F,10.004828120
-0.05144695937634,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6196250915527,Volt DC,10,T,2W,F,F,10.088601700
-0.05084532871842,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5999402999878,Volt DC,10,T,2W,F,F,10.172360720
-0.05028218775988,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5798969268799,Volt DC,10,T,2W,F,F,10.256114840
-0.04980884119868,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5598840713501,Volt DC,10,T,2W,F,F,10.339895500
-0.04928122833371,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5398283004761,Volt DC,10,T,2W,F,F,10.423657120
-0.0486219227314,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5197892189026,Volt DC,10,T,2W,F,F,10.507443680
-0.04791870713234,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4997215270996,Volt DC,10,T,2W,F,F,10.591194200
-0.04749367758632,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4796576499939,Volt DC,10,T,2W,F,F,10.674948200
-0.04738771542907,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4596614837646,Volt DC,10,T,2W,F,F,10.758713280
-0.04693617671728,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4399366378784,Volt DC,10,T,2W,F,F,10.842487720
-0.04659326374531,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4198822975159,Volt DC,10,T,2W,F,F,10.926238460
-0.045819375664,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3998374938965,Volt DC,10,T,2W,F,F,11.009993280
-0.04527737945318,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3798418045044,Volt DC,10,T,2W,F,F,11.093751180
-0.04468951746821,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3597898483276,Volt DC,10,T,2W,F,F,11.177517740
-0.04419060051441,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3397450447083,Volt DC,10,T,2W,F,F,11.261289080
-0.04377707093954,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3196926116943,Volt DC,10,T,2W,F,F,11.345052940
-0.04328522831202,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2996740341187,Volt DC,10,T,2W,F,F,11.428820180
-0.0428045541048,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2799744606018,Volt DC,10,T,2W,F,F,11.512605300
-0.0424199514091,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2599439620972,Volt DC,10,T,2W,F,F,11.596399500
-0.04190902784467,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2398819923401,Volt DC,10,T,2W,F,F,11.680165520
-0.04144344106317,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2198905944824,Volt DC,10,T,2W,F,F,11.763913960
-0.04103295877576,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1998362541199,Volt DC,10,T,2W,F,F,11.847673480
-0.0406241491437,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1797862052917,Volt DC,10,T,2W,F,F,11.931453360
-0.0401745736599,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1597127914429,Volt DC,10,T,2W,F,F,12.015228860
-0.03983290120959,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1396627426147,Volt DC,10,T,2W,F,F,12.098987180
-0.03946328163147,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1196670532227,Volt DC,10,T,2W,F,F,12.182754280
-0.03890284895897,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.0999407768250,Volt DC,10,T,2W,F,F,12.266542920
-0.03866552188993,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.0799183845520,Volt DC,10,T,2W,F,F,12.350302260
-0.03825138881803,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.0598521232605,Volt DC,10,T,2W,F,F,12.434057280
-0.0379231274128,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.0398616790771,Volt DC,10,T,2W,F,F,12.517831800
-0.03767611458898,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.0197925567627,Volt DC,10,T,2W,F,F,12.601614840
-0.03703214600682,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9997577667236,Volt DC,10,T,2W,F,F,12.685383420
-0.03668525442481,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9796867370605,Volt DC,10,T,2W,F,F,12.769161100
-0.03668348118663,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9596977233887,Volt DC,10,T,2W,F,F,12.852921080
-0.03635775670409,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9399785995483,Volt DC,10,T,2W,F,F,12.936688740
-0.03605222329497,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.9199609756470,Volt DC,10,T,2W,F,F,13.020470820
-0.03571549057961,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8998970985413,Volt DC,10,T,2W,F,F,13.104249680
-0.03545495867729,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8798551559448,Volt DC,10,T,2W,F,F,13.188013440
-0.03516234457493,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8598361015320,Volt DC,10,T,2W,F,F,13.271775140
-0.03424382582307,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8397741317749,Volt DC,10,T,2W,F,F,13.355542700
-0.03489643335342,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.8197131156921,Volt DC,10,T,2W,F,F,13.439307460
-0.03443701937795,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7996683120728,Volt DC,10,T,2W,F,F,13.523056460
-0.03412444889545,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7799882888794,Volt DC,10,T,2W,F,F,13.606810560
-0.03386098146439,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7599401473999,Volt DC,10,T,2W,F,F,13.690589760
-0.03357578441501,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7399077415466,Volt DC,10,T,2W,F,F,13.774382440
-0.03291961550713,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.7198305130005,Volt DC,10,T,2W,F,F,13.858144220
-0.03297109901905,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6998291015625,Volt DC,10,T,2W,F,F,13.941898500
-0.0327125415206,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6797804832458,Volt DC,10,T,2W,F,F,14.025659140
-0.03241568058729,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6597161293030,Volt DC,10,T,2W,F,F,14.109423960
-0.03216706216335,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6396608352661,Volt DC,10,T,2W,F,F,14.193180000
-0.0318735614419,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.6196551322937,Volt DC,10,T,2W,F,F,14.276932620
-0.03160708770156,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5999407768250,Volt DC,10,T,2W,F,F,14.360687500
-0.03137119859457,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5799298286438,Volt DC,10,T,2W,F,F,14.444452460
-0.03106984868646,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5598640441895,Volt DC,10,T,2W,F,F,14.528231080
-0.03074700199068,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5398125648499,Volt DC,10,T,2W,F,F,14.611999300
-0.03050776384771,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.5197978019714,Volt DC,10,T,2W,F,F,14.695757040
-0.03024205937982,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4997591972351,Volt DC,10,T,2W,F,F,14.779520860
-0.02996286563575,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4796919822693,Volt DC,10,T,2W,F,F,14.863285780
-0.02981919422746,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4596443176270,Volt DC,10,T,2W,F,F,14.947053940
-0.02947022952139,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4399666786194,Volt DC,10,T,2W,F,F,15.030824260
-0.02921248786151,Amp DC,.1,5.5,F,F,F,F,F,F,Rear,F,Main,-6.4199285507202,Volt DC,10,T,2W,F,F,15.114599060
