Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,361
Base Time Seconds,1617796583
Base Time Fractional,.137965480
Base Time,04/07/2021 11:56:23.137965480
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-6.223753956647e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.9996767044067,Volt DC,10,T,2W,F,F,0.000000000
-6.340985514441e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.8847856521606,Volt DC,10,T,2W,F,F,0.680551140
-6.241958949715e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.8442468643188,Volt DC,10,T,2W,F,F,1.225411180
-6.306697830638e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.8497552871704,Volt DC,10,T,2W,F,F,2.376990800
-6.251632100884e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.7371826171875,Volt DC,10,T,2W,F,F,3.057521760
-6.155475684722e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.6942768096924,Volt DC,10,T,2W,F,F,3.602364900
-5.845468553645e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.6354207992554,Volt DC,10,T,2W,F,F,4.147220100
-6.280510334022e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.6496696472168,Volt DC,10,T,2W,F,F,5.298749600
-6.154949883097e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.5401563644409,Volt DC,10,T,2W,F,F,5.979301160
-6.305306055054e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.4932651519775,Volt DC,10,T,2W,F,F,6.524174980
-6.213979553138e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.4997148513794,Volt DC,10,T,2W,F,F,7.675739360
-6.103013650005e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.3875179290771,Volt DC,10,T,2W,F,F,8.356280480
-6.236811511684e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.3298654556274,Volt DC,10,T,2W,F,F,8.901139400
-6.966445198486e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.2760515213013,Volt DC,10,T,2W,F,F,9.445997320
-5.946681369551e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.2996301651001,Volt DC,10,T,2W,F,F,10.597541400
-5.884877474216e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.1789350509644,Volt DC,10,T,2W,F,F,11.278121000
-5.963622484728e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.1289262771606,Volt DC,10,T,2W,F,F,11.823003460
-6.091096960148e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.1496677398682,Volt DC,10,T,2W,F,F,12.974577940
-5.974396533048e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-8.0319080352783,Volt DC,10,T,2W,F,F,13.655110320
-6.112533590397e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.9845256805420,Volt DC,10,T,2W,F,F,14.199970680
-5.881332754143e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.9369153976440,Volt DC,10,T,2W,F,F,14.744801200
-6.076329661653e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.9499773979187,Volt DC,10,T,2W,F,F,15.896350880
-5.944227332577e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.8386282920837,Volt DC,10,T,2W,F,F,16.576925320
-5.880655962187e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.7834520339966,Volt DC,10,T,2W,F,F,17.121791180
-6.077268910332e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.7996811866760,Volt DC,10,T,2W,F,F,18.273358800
-5.849740691843e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.6804695129395,Volt DC,10,T,2W,F,F,18.953914380
-5.756276344471e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.6347255706787,Volt DC,10,T,2W,F,F,19.498787220
-5.958483928481e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.6496863365173,Volt DC,10,T,2W,F,F,20.650333840
-5.92448134995e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.5999712944031,Volt DC,10,T,2W,F,F,21.837566600
-5.906227062979e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.4848818778992,Volt DC,10,T,2W,F,F,22.518100740
-5.930762991824e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.4997467994690,Volt DC,10,T,2W,F,F,23.669679220
-5.885596454647e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.4499683380127,Volt DC,10,T,2W,F,F,24.856952560
-5.934936986307e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.3425197601318,Volt DC,10,T,2W,F,F,25.537481340
-5.933465718755e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.3498182296753,Volt DC,10,T,2W,F,F,26.689048840
-5.868268981857e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.2488803863525,Volt DC,10,T,2W,F,F,27.369594220
-5.714886786023e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.1899223327637,Volt DC,10,T,2W,F,F,27.914462420
-5.678348458105e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.1420903205872,Volt DC,10,T,2W,F,F,28.459302400
-5.618517651129e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.1496920585632,Volt DC,10,T,2W,F,F,29.610845720
-5.619205101226e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-7.0375370979309,Volt DC,10,T,2W,F,F,30.291392100
-5.718129081345e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-6.9950881004333,Volt DC,10,T,2W,F,F,30.836254300
-5.730864671705e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-6.9998011589050,Volt DC,10,T,2W,F,F,31.987831940
-5.684828163766e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-6.8928771018982,Volt DC,10,T,2W,F,F,32.668372220
-5.770950828321e-09,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-6.8381915092468,Volt DC,10,T,2W,F,F,33.213233340
-5.610190090266e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-6.8498229980469,Volt DC,10,T,2W,F,F,34.364792000
-5.68404434631e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,-6.7996802330017,Volt DC,10,T,2W,F,F,35.552025000
