Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,201
Base Time Seconds,1617795175
Base Time Fractional,.050808080
Base Time,04/07/2021 11:32:55.050808080
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.09999723732471,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.2114117145538,Volt DC,10,T,2W,T,F,0.000000000
-0.09999722987413,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.2076034545898,Volt DC,10,T,2W,T,F,0.083796480
-0.09999716281891,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.2043492794037,Volt DC,10,T,2W,T,F,0.167555660
-0.09999722242355,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.2014989852905,Volt DC,10,T,2W,T,F,0.251300480
-0.09999722242355,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1989414691925,Volt DC,10,T,2W,T,F,0.335061180
-0.09999714046717,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1966216564178,Volt DC,10,T,2W,T,F,0.418817760
-0.09999722987413,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1944913864136,Volt DC,10,T,2W,T,F,0.502566160
-0.09999719262123,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1925227642059,Volt DC,10,T,2W,T,F,0.586326580
-0.09999722242355,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1906888484955,Volt DC,10,T,2W,T,F,0.670085520
-0.09999722987413,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1889758110046,Volt DC,10,T,2W,T,F,0.753828240
-0.09999720752239,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1873657703400,Volt DC,10,T,2W,T,F,0.837570700
-0.09999723732471,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1858496665955,Volt DC,10,T,2W,T,F,0.921330360
-0.0999972447753,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1844117641449,Volt DC,10,T,2W,T,F,1.005077280
-0.09999720007181,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1830472946167,Volt DC,10,T,2W,T,F,1.088832360
-0.09999722987413,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1817555427551,Volt DC,10,T,2W,T,F,1.172578540
-0.0999972820282,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1805191040039,Volt DC,10,T,2W,T,F,1.256334860
-0.09999725967646,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1793377399445,Volt DC,10,T,2W,T,F,1.340076220
-0.09999722987413,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1782066822052,Volt DC,10,T,2W,T,F,1.423839440
-0.09999718517065,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1771254539490,Volt DC,10,T,2W,T,F,1.507609580
-0.09999720007181,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1760854721069,Volt DC,10,T,2W,T,F,1.591362920
-0.0999972447753,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1750810146332,Volt DC,10,T,2W,T,F,1.675117260
-0.09999730437994,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1741158962250,Volt DC,10,T,2W,T,F,1.758860880
-0.09999725222588,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1731920242310,Volt DC,10,T,2W,T,F,1.842612440
-0.0999972820282,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1722853183746,Volt DC,10,T,2W,T,F,1.926370020
-0.09999725222588,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1714425086975,Volt DC,10,T,2W,T,F,2.010116820
-0.09999714046717,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1706171035767,Volt DC,10,T,2W,T,F,2.093878420
-0.09999720752239,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1698110103607,Volt DC,10,T,2W,T,F,2.177622300
-0.09999723732471,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1690621376038,Volt DC,10,T,2W,T,F,2.261375400
-0.09999723732471,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1682839393616,Volt DC,10,T,2W,T,F,2.345127780
-0.09999725967646,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1675415039063,Volt DC,10,T,2W,T,F,2.428883100
-0.09999726712704,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1668250560760,Volt DC,10,T,2W,T,F,2.512611700
-0.09999717026949,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1661188602448,Volt DC,10,T,2W,T,F,2.596356540
-0.09999725222588,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1654384136200,Volt DC,10,T,2W,T,F,2.680099240
-0.09999725222588,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1647684574127,Volt DC,10,T,2W,T,F,2.763846200
-0.0999972820282,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1641113758087,Volt DC,10,T,2W,T,F,2.847601100
-0.0999972820282,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1634819507599,Volt DC,10,T,2W,T,F,2.931357500
-0.0999972820282,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1628618240356,Volt DC,10,T,2W,T,F,3.015114660
