Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,361
Base Time Seconds,1617795760
Base Time Fractional,.822015300
Base Time,04/07/2021 11:42:40.822015300
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.1530573368073,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9996948242188,Volt DC,10,T,2W,F,F,0.000000000
-0.1571251899004,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9495792388916,Volt DC,10,T,2W,F,F,0.083811900
-0.1578282415867,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8998584747314,Volt DC,10,T,2W,F,F,0.167600940
-0.1580587029457,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8496980667114,Volt DC,10,T,2W,F,F,0.251381020
-0.1592500060797,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7996387481689,Volt DC,10,T,2W,F,F,0.335148800
-0.1590504348278,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7498912811279,Volt DC,10,T,2W,F,F,0.418895340
-0.1592862010002,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6997528076172,Volt DC,10,T,2W,F,F,0.502668700
-0.1582255512476,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6496667861938,Volt DC,10,T,2W,F,F,0.586442800
-0.1576111614704,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5999107360840,Volt DC,10,T,2W,F,F,0.670224460
-0.1567050069571,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5498352050781,Volt DC,10,T,2W,F,F,0.753991380
-0.1559004634619,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4997186660767,Volt DC,10,T,2W,F,F,0.837770360
-0.1550783962011,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4496240615845,Volt DC,10,T,2W,F,F,0.921538640
-0.1540702134371,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3998622894287,Volt DC,10,T,2W,F,F,1.005311840
-0.1531669795513,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3497285842896,Volt DC,10,T,2W,F,F,1.089088320
-0.1522720009089,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2996482849121,Volt DC,10,T,2W,F,F,1.172857240
-0.1515496224165,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.2498760223389,Volt DC,10,T,2W,F,F,1.256648940
-0.150787115097,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1997966766357,Volt DC,10,T,2W,F,F,1.340429620
-0.1499364227057,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.1496934890747,Volt DC,10,T,2W,F,F,1.424180980
-0.1488932222128,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0999040603638,Volt DC,10,T,2W,F,F,1.507943360
-0.1478873640299,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-8.0498266220093,Volt DC,10,T,2W,F,F,1.591709240
-0.146930411458,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9996981620789,Volt DC,10,T,2W,F,F,1.675492100
-0.1458318978548,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.9499697685242,Volt DC,10,T,2W,F,F,1.759270500
-0.1448458433151,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8998961448669,Volt DC,10,T,2W,F,F,1.843057060
-0.1439613550901,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.8497686386108,Volt DC,10,T,2W,F,F,1.926805660
-0.1430277973413,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7996768951416,Volt DC,10,T,2W,F,F,2.010599880
-0.1416683197021,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.7498812675476,Volt DC,10,T,2W,F,F,2.094378940
-0.1410253942013,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6998105049133,Volt DC,10,T,2W,F,F,2.178141080
-0.1401344835758,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.6496863365173,Volt DC,10,T,2W,F,F,2.261922800
-0.1387720257044,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5999579429626,Volt DC,10,T,2W,F,F,2.345688560
-0.1376361697912,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.5498743057251,Volt DC,10,T,2W,F,F,2.429468100
-0.1366448551416,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4997510910034,Volt DC,10,T,2W,F,F,2.513252700
-0.1357551217079,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.4499697685242,Volt DC,10,T,2W,F,F,2.597010460
-0.1347509771585,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3998551368713,Volt DC,10,T,2W,F,F,2.680776480
-0.1337544620037,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.3498125076294,Volt DC,10,T,2W,F,F,2.764546340
-0.132431730628,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2996973991394,Volt DC,10,T,2W,F,F,2.848338560
-0.1313623636961,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.2499332427979,Volt DC,10,T,2W,F,F,2.932108500
-0.1303010284901,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1998505592346,Volt DC,10,T,2W,F,F,3.015886300
-0.129146412015,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.1497020721436,Volt DC,10,T,2W,F,F,3.099655220
-0.1280926316977,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-7.0999484062195,Volt DC,10,T,2W,F,F,3.183453160
