Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,361
Base Time Seconds,1617796346
Base Time Fractional,.721894960
Base Time,04/07/2021 11:52:26.721894960
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-1.22336507502e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9997186660767,Volt DC,10,T,2W,F,F,0.000000000
-1.221584057021e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.9495916366577,Volt DC,10,T,2W,F,F,0.084830240
-1.218961415361e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8998813629150,Volt DC,10,T,2W,F,F,0.169606280
-1.216151645167e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.8497190475464,Volt DC,10,T,2W,F,F,0.254354080
-1.212630536429e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7996444702148,Volt DC,10,T,2W,F,F,0.339130880
-1.209992205986e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.7499055862427,Volt DC,10,T,2W,F,F,0.423893540
-1.20708796203e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6997709274292,Volt DC,10,T,2W,F,F,0.508660500
-1.204685645462e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.6496820449829,Volt DC,10,T,2W,F,F,0.593434100
-1.203122224069e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5999164581299,Volt DC,10,T,2W,F,F,0.678214060
-1.200955466629e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.5498638153076,Volt DC,10,T,2W,F,F,0.762974360
-1.199032453769e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4997310638428,Volt DC,10,T,2W,F,F,0.847725780
-1.197244046125e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.4496364593506,Volt DC,10,T,2W,F,F,0.932509440
-1.195900949824e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3998756408691,Volt DC,10,T,2W,F,F,1.017251720
-1.194303990815e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Rear,F,Main,-8.3497467041016,Volt DC,10,T,2W,F,F,1.102007420
