Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,121
Base Time Seconds,1615321286
Base Time Fractional,.627581540
Base Time,03/09/2021 20:21:26.627581540
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-0.1999848484993,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8848457336426,Volt DC,10,T,2W,T,F,0.000000000
-0.1999411731958,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8712246417999,Volt DC,10,T,2W,T,F,0.083798600
-0.1999457627535,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8599653244019,Volt DC,10,T,2W,T,F,0.167558220
-0.1999440491199,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8531563282013,Volt DC,10,T,2W,T,F,0.251324280
-0.1999439448118,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8505599498749,Volt DC,10,T,2W,T,F,0.335080380
-0.1999457627535,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8494198322296,Volt DC,10,T,2W,T,F,0.418845280
-0.1999416351318,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8412702083588,Volt DC,10,T,2W,T,F,0.502588220
-0.1999469697475,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8366987705231,Volt DC,10,T,2W,T,F,0.586352700
-0.1999405473471,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8338143825531,Volt DC,10,T,2W,T,F,0.670108740
-0.1999387741089,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8300848007202,Volt DC,10,T,2W,T,F,0.753855200
-0.1999417245388,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.8268342018127,Volt DC,10,T,2W,T,F,0.837599140
-0.1999877989292,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7720355987549,Volt DC,10,T,2W,T,F,0.921342020
-0.1999405324459,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7664864063263,Volt DC,10,T,2W,T,F,1.005103820
-0.1999475061893,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7650463581085,Volt DC,10,T,2W,T,F,1.088851500
-0.1999439895153,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7644560337067,Volt DC,10,T,2W,T,F,1.172596480
-0.1999393850565,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7639591693878,Volt DC,10,T,2W,T,F,1.256366660
-0.1999399960041,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7637562751770,Volt DC,10,T,2W,T,F,1.340112040
-0.1999452263117,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7635979652405,Volt DC,10,T,2W,T,F,1.423863520
-0.1999352872372,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7633333206177,Volt DC,10,T,2W,T,F,1.507623100
-0.1999435424805,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7631785869598,Volt DC,10,T,2W,T,F,1.591369220
-0.199937030673,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7630722522736,Volt DC,10,T,2W,T,F,1.675129120
-0.1999347358942,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7628960609436,Volt DC,10,T,2W,T,F,1.758871320
-0.1999387741089,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7628431320190,Volt DC,10,T,2W,T,F,1.842626840
-0.1999353170395,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7626941204071,Volt DC,10,T,2W,T,F,1.926367460
-0.1999400109053,Amp DC,1,5.5,F,F,F,F,F,F,Rear,F,Main,-3.7626428604126,Volt DC,10,T,2W,T,F,2.010127280
